source,references,hypothesis,trans_error,human_error,ambiguous,error_type
Jalkaväkeä oli pilvin pimein.,Arty and infantry just kept on coming.,The infantry was in full force.,,,,
"- Niitä on pilvin pimein. Mersu, Mersu, Mersu, Mersu...","We stopped to let the twin turbo V8 cool, but then... it decided to die.","- They are a dime a dozen. Mersu, Mersu, Mersu, Mersu, Mersu...",,,,
"Miten vanha hän oli, kun hän potkaisi tyhjää?",So how old was she when she finally blasted off?,How old was he when he kicked the bucket?,,,,
"Se on voimassa vasta, kun on potkaissut tyhjää.",Yes. It's only effective after you've kicked the bucket.,It is only valid after you have kicked clear.,,,,
"Äiti potkaisee tyhjää, kun saa tietää tästä.",No beer. We shouldn't even be doing this here. Mom's gonna die when she finds out about all this.,Mum kicks the bucket when she finds out about this.,,,,
Pukki kaalimaan vartijana.,"You're kind of like the wolf guarding the henhouse, Fred.",Santa Claus as a guard at the weighbridge.,,,,
Teillä menee puurot ja vellit sekaisin!,Then why are you comparing apples and oranges?,You're getting your knickers in a twist!,,,,
Kiusallinen rauhansopimus Espanjan kanssa on rikkana rokassa.,There's always the awkward detail of Your Majesty's treaty with Spain.,The controversial peace treaty with Spain is broken.,,,,
Siinä oli ruista ranteessa.,"Ooh, is there stuff on that pitch!",There was a rye on his wrist.,,,,
"B.A., tiedämme että sinulla on ruista ranteessasi.","And B.A. we know you've got the bulk, baby.","B.A., we know you've got rye on your wrist.",,,,
- Hänellä on ruista ranteessa.,She could do anything. Yeah.,- He has a rye on his wrist.,,,,
Ehkä hän haluaa saada heidät kiinni rysän päältä.,I guess he's trying to catch them at it or...,Maybe he wants to catch them off guard.,,,,
Smith jäi kiinni rysän päältä varastaessaan lapsilta.,Smith was caught red-handed stealing from boys.,Smith was caught stealing from children at the end of the trap.,,,,
Jäikö hän kiinni rysän päältä?,"Oh my God! - What, then you caught her?",Did he get caught in the trap?,,,,
Yksi ilta vettä satoi kuin esterin perseestä.,"One night, man, it was just raining like fuck, man.",One night it rained like an ester's arse.,,,,
Elena lähti soitellen sotaan.,"She went in with no extraction plan, no idea how to find mack.",Elena went off to war calling.,,,,
"Saat käyttöösi tutkia, satelliitteja ja pari lentokonetta. Emme ryntää soitellen sotaan.",Ground troops are still out.,"You'll have access to radar, satellites and a couple of planes. We're not rushing off to war.",,,,
Et voi lähteä soitellen sotaan avaruusolentoja vastaan.,Fighting Alchemy or Savitar or aliens isn't something you just show up and try.,You can't go off to war with aliens.,,,,
- Älä soita suutasi.,Don't you brash me.,- Don't say anything.,,,,
Soitit suutasi psykopaattien edessä.,"You had to run your mouth in front of psychopaths, didn't you?",You were running your mouth in front of psychopaths.,,,,
"Soitan suutani, mutta sanon harvoin suorat sanat.","I mean, I talk a good game, but I very rarely tell people what I think to their face.","I speak my mind, but I rarely say a straight word.",,,,
"Ja sokerina pohjalla, - minulla on Lontoon paras äänentoistojärjestelmä.",And to top it off... I got the baddest system in all of London.,"And as the icing on the cake, - I have the best sound system in London.",,,,
"Ja sokerina pohjalla Anne Dettrey, muotitoimittajamme.","And last, as a kind of dessert, Anne Dettrey, our fashion editor.","And the icing on the cake is Anne Dettrey, our fashion editor.",,,,
Ja sokerina pohjalla - ulkona on limusiinikolonna - valmiina viemään meidät - strippiklubille!,And last but not least... there is a fleet of limos outside... waiting to take us to... a strip club!,And to sweeten the deal - there's a limousine villain outside - ready to take us - to a strip club!,,,,
Nyt tulee tupenrapinat.,He's going to be so angry.,Now comes the double rapids.,,,,
Nyt tuli tupenrapinat,ROSE! WHAT ARE YOU DOING?,Now came the tassels,,,,
Nyt tuli tupenrapinat.,"- [ Whimpering Laugh ] Oh, I'm in trouble.",Now came the double rapids.,,,,
"Toisin kuin sinä, joka vain seisot tumput suorina - minä päätin tehdä jotain.",So unlike you... who seems to be completely comfortable just standing around like some fucking pussy... I decided to do something about it.,"Unlike you, who just stand around - I decided to do something.",,,,
Miksi täällä seistään tumput suorina?,What is everybody doing standing around here?,Why are we standing here with our chins up?,,,,
En voi vain seisoa tumput suorina.,You can't expect me to do nothing.,I can't just stand around with my buttocks straight.,,,,
"lnfektion mahdollisuus kasvaa joka sekunti, jonka hän on auki. Lisäksi tuhlaat tuhansia dollareita, kun seisot siinä tumput suorina.","The rate of infection for this patient is increasing every second you keep him open, not to mention the thousands of dollars you're wasting standing here doing nothing.","The chance of infection increases every second she's open. Plus, you're wasting thousands of dollars standing there with your butt outstretched.",,,,
Roger voi tykätä kyttyrää.,- Roger may take a dim view of this...,Roger may like the hump.,,,,
"Anna potkut, jos tykkäät kyttyrää.","And if you don't like that, you can just fire me.",Fire me if you like the hump.,,,,
Taidat tykätä kyttyrää.,- Getting a hint of disapproval.,I think you like the hump.,,,,
-Loppuvaiheen syöpä - laukkaava.,- Terminal cancer. Raging.,-End-stage cancer - metastatic.,,,,
"Se oli raju vaihe, jossa Linnunrata nielaisi lähimmät galaksit.",OUR GALAXY TURNS ON ITS COSMIC SIBLINGS.,It was a violent phase in which the Milky Way swallowed up the nearest galaxies.,,,,
- Pääsemmekö läpi vaiheisilla?,Could we get through with our phasers?,- Can we get through the phases?,,,,
"Luulin, että ryöstelisimme jo tässä vaiheessa pankkeja - emmekä bensarekkoja jossain Jumalan selän takana.","I thought we'd be robbing banks by now, not some gas truck in the middle of nowhere.",I thought we were already robbing banks at this stage - not petrol stations somewhere behind God's back.,,,,
"Voimme varmaankin sanoa, että tässä vaiheessa menitte ojasta allikkoon.",I never thought I'd hear him say that. Safe to say this is when the mission went from the frying pan into the fire.,I think it's safe to say that at this point you went from the ditch to the bottom.,,,,
Missä vaiheessa aloit tuntea olevasi hukassa?,At what point did you begin to feel lost?,At what point did you start to feel lost?,,,,
Hän on vaihtamassa hiippakuntaa.,He's getting fitted for a halo.,He is changing diocese.,,,,
"En halua olla vastarannankiiski, mutta nautin tästä.","I think that's the point! I don't mean to be a contrarian, - but I'm enjoying this.","I don't want to be a counter-coastal dog, but I'm enjoying this.",,,,
Et enää erota vastarannankiiskejä.,No more dismissing anyone who disagrees.,You can no longer tell the difference between the Newfoundlanders.,,,,
Taisi vetää herneen nenään.,That pissed her off.,I think he's pulling a fast one.,,,,
Jotkut vetävät herneen nenään.,"Some people get pissed off, saying we're taking over.",Some people turn a blind eye.,,,,
Älä vedä hernettä nenään.,Keep your knickers on.,Don't pull a pea out of your nose.,,,,
Olen todella vetänyt hirsiä!,Have I been sawing wood up there!,I have really pulled the logs!,,,,
"En, vedän hirsiä kymmeneltä.","No, no, I'll be sawing wood at 10:00.","No, I pull logs at 10 o'clock.",,,,
Vähän isompana toivoin törmääväni siihen ja vetäväni turpaan.,"When I got older, I wanted to bump into him and beat him up.","When I was a bit bigger, I was hoping to bump into it and kick its ass.",,,,
- Tuut kans tai vedän turpaan.,You better come back or else I'm gonna kick your ass.,- Come with me or I'll kick your ass.,,,,
Ehkä voisit antaa minulle listan kaikista existäsi jotta tietäisin edes kuka minua seuraavaksi vetää turpaan.,Maybe you could just give me a list of all of your exes so that I can at least know who's going to beat my ass into the ground next.,Maybe you could give me a list of all your exes so I know at least who's going to kick my ass next.,,,,
Sitten vinttini pimeni.,And then I...,Then my winch went black.,,,,
"Sanoin, että vintti pimeni. Olit kauhuissasi.","I said, ""Dead out, he was scared shitless.",I said the attic went dark. You were terrified.,,,,
Vintti pimeni.,I blacked out.,The attic went dark.,,,,
Ei tarvitse vääntää rautalangasta.,- You don't have to draw me pictures.,There is no need to twist the iron.,,,,
Cheerleaderille pitää kaikki vääntää rautalangasta.,"Jeez, you gotta spell everything out for the cheerleader.","For a cheerleader, you have to spell everything out.",,,,
- Pitääkö minun vääntää rautalangasta?,We should wait for Captain Teitel.,- Do I have to spell it out?,,,,
Yritys hyvä kymmenen.,"Then give him an A for effort, Andy.",A good ten for the company.,,,,
"Yritys hyvä kymmenen, mutta luulenpa että onnemme loppui.","A great ride, friend. But I have a feeling it's about over.","A good ten attempt, but I think our luck ran out.",,,,
"Yritys hyvä kymmenen, vaikka häviäisitte.","Win or lose, you are giving it your best shot.","Try a good ten, even if you lose.",,,,
Kaikki elävät koodinmurtajamme ovat äimän käkenä.,All of our living code breakers are absolutely stumped.,All our living codebreakers are in a tizzy.,,,,
- Olenkin äimän käkenä.,"- Yeah, well, I'm fucking surprised.",- I'm in a tizzy.,,,,
Olin äimän käkenä.,"I'm thinking, ""What the hell?""",I was frantic.,,,,
Minusta se on äidin näköinen.,"Mum says so, but... looks more like her.",I think it looks like a mother.,,,,
Olet aivan äitisi näköinen.,You look like your mother. Let me help you.,You look just like your mother.,,,,
"Sanovat, että olen äidin näköinen.",They say I look like her. - That's because you do.,They say I look like my mother.,,,,
