,contains_idioms
膝 を 折る,1
滅相 も ない,1
面 の 皮 が 厚い,1
声 を 立てる,1
"面倒 を みる,腹 を 立てる",1
"暇 を 取る,目 を 離す",1
血 が 繋がる,1
舌 が 肥える,1
"厄介 払い,手 に 入れる",1
"手 を 切る,目 が 肥える",1
"ちょっかい を 出す,目 に 付く",1
列 に 入る,1
胸 を 焦がす,1
血眼 に なる,1
"気 に する,世話 に なる",1
犬 も 食う ない,1
"途方 に 暮れる,的 だ なる",1
寝食 を 忘れる,1
"習う より 慣れる よ,習う より 慣れる",1
目 が 飛び出る,1
"ちょっと する た,力 を 貸す",1
"堅い なる,口 が 堅い",1
鳴り を 潜める,1
腰 を 上げる,1
顔 を 貸す,1
目星 を 付ける,1
"間 が 悪い,手 を 汚す",1
目玉 が 飛び出る,1
通り が いい,1
不興 を 買う,1
面目 を 潰す,1
赤子 の 手 を ねじる,1
青 二 才,1
還暦,1
星 を 挙げる,1
言う ぬ もが な,1
軽口 を 叩く,1
至れり 尽く せり,1
姿勢 を 正す,1
泣き を 入れる,1
お じゃん に なる,1
世間 を 騒ぐ せる,1
足蹴 に する,1
網 を 張る,1
首 が 危ない,1
肝 を 冷やす,1
知る 人ぞ 知る,1
"気 が 多い,血 の 気 が 多い",1
蛇 の 生殺 する,1
おべっ か を 使う,1
けり を 付ける,1
値千 金,1
犬猿 の 仲,1
袖 を 通す,1
名 が 泣く,1
産み の 苦しみ,1
"手 に する,手 を 汚す",1
食う や 食う ぬ,1
糠 喜び,1
辻褄 を 合わせる,1
短気 は 損気,1
いい 目 を みる,1
"風前 の 灯,風前 の 灯火",1
"夢 を みる,気 を 失う",1
寸分 違う ぬ,1
"嘘 八 百,嘘 八 百 を 並べる",1
打てる ば 響く,1
名 を 留める,1
異彩 を 放つ,1
逃げる が 勝ち,1
天下 分け 目,1
上手 だ 出る,1
"狙い を つける,完璧",1
"厄介 だ なる,ちょっと する た",1
"仲 を 取り持つ,手 を 打つ",1
有終 の 美 を 飾る,1
身 を 沈める,1
後 が ない,1
武士 は 食う ねど 高 楊 枝,1
板 に 付く,1
頭 が 割れる よう,1
太鼓 を 叩く,1
得心 が 行く,1
男 を 磨く,1
"気 に する,いい 気味",1
入れ替わり 立ち替わり,1
破竹 の 勢い,1
話 が 弾む,1
泣く に 泣く ない,1
息 を 継ぐ,1
"手 に 手 を 取る,手 を 取る,手 に 手 を 取る て",1
血 が 引く,1
後押し を する,1
"気 を 使う,何 か に つける",1
手 が 切れる,1
お 目 に 掛ける,1
至難 の 業,1
気 は 心,1
足 が 遠のく,1
"気 を 使う,気 を 付ける",1
長蛇 の 列,1
"身 に なる,力 を える",1
"手 に 落ちる,手 に 入れる",1
大概 に する,1
"手 に 入れる,ちょっと する た",1
機転 が 利く,1
金回り が いい,1
耳 が 早い,1
後 を 引く,1
九死 に 一生 を える,1
夢枕 に 立つ,1
証 を 立てる,1
正鵠 を 射る,1
"手 に 負える ない,気 が 付く",1
二 枚 舌 を 使う,1
大 目玉 を 食らう,1
年 に は 勝てる ない,1
"中 に 入る,気 が 済む",1
"雲行き が 怪しい,口 に する",1
"目 が 覚める,気 を 失う",1
"狙い を 定める,気 を 付ける",1
風向き が 悪い,1
眉一 つ 動かす ない,1
"気 に する,顔 を 見せる",1
年 を 食う,1
腹 を 探る,1
後味 が 悪い,1
弓 を 引く,1
先立 つ物,1
"気 に する,小さい なる",1
顔 が 揃う,1
"気 に する,知恵 を 絞る",1
目処 が 付く,1
声 を 限る に,1
嬉しい 悲鳴,1
死人 に 口 なし,1
味 も 素っ気 も ない,1
白羽 の 矢 が 立つ,1
"話 に なる ない,世話 に なる",1
口 が 滑る,1
胸 が 詰まる,1
足場 を 固める,1
向き に なる,1
神 に 入る,1
蜂の 巣 を つつく た よう,1
"責め を 負う,飛ぶ で 火 に 入る 夏 の 虫",1
愛の 鞭,1
歓心 を 買う,1
手 が 長い,1
"気 に する,骨 を 折る",1
泣きっ面 に 蜂,1
音頭 を 取る,1
頭 を 丸める,1
息 が 掛かる,1
壁 に 耳,1
的 が 外れる,1
羽 を 伸ばす,1
口 が 裂ける て も,1
面目 を 失う,1
生き血 を 吸う,1
幸か 不幸 か,1
潔し と する ない,1
見所 が ある,1
"気 に する,気 が 付く",1
切り札 を 出す,1
狸寝 入り,1
"舌 を 出す,始まる ない",1
"手 を 回す,手 を 繋ぐ",1
肩 に 掛かる,1
頭 を 悩ます,1
"何 から 何 まで,完璧",1
習う より 慣れる,1
目 に は 目 を 歯 に は 歯 を,1
浮き彫り に する,1
馬子 に も 衣装,1
落とす 前 を つける,1
手心 を 加える,1
従心,1
手 を 変える 品 を 変える,1
"気 に する,手 に 入れる",1
お 安い 御 用,1
舌 を 巻く,1
"足場 を 失う,気 を 付ける",1
"荷 を 下ろす,重荷 を 下ろす",1
峠 を 越す,1
穴 が 空い,1
"気 に なる,的 だ なる",1
脇 が 甘い,1
肌 身離 する ぬ,1
スポット を 当てる,1
膿 を 出す,1
"気 を 付ける,足 が 速い",1
"引き合い に 出す,気 に する",1
十八 番,1
"固い なる,気 が 済む",1
気 を 確か だ 持つ,1
火 を みる より 明らい か,1
金 の 切れる 目 が 縁 の 切れる 目,1
阿吽 の 呼吸,1
胸 が 一杯 に なる,1
気 を 利く せる,1
"中 に 入る,口 に 合う",1
幕 を 引く,1
足 が 重い,1
"手 に する,手 に 入る",1
攻撃 は 最大 の 防御,1
