source,references,hypothesis,trans_error,human_error,ambiguous,error_type
Koska olit pihkassa minuun.,'Cause you were into me.,Because you were into me.,,,,
Äitisi antoi meille patoja ja pannuja vaikka meillä on jo niitä pilvin pimein.,"Your mom said we can't leave without pots and pans. I told her I had some, and then she handed me pots and pans.",Your mother gave us pots and pans even though we already have them in the darkest of clouds.,,,,
Jalkaväkeä oli pilvin pimein.,Arty and infantry just kept on coming.,The infantry was in the darkest of clouds.,,,,
"- Niitä on pilvin pimein. Mersu, Mersu, Mersu, Mersu...","We stopped to let the twin turbo V8 cool, but then... it decided to die.","- They are the darkest of clouds. Mersu, Mersu, Mersu, Mersu...",,,,
"Miten vanha hän oli, kun hän potkaisi tyhjää?",So how old was she when she finally blasted off?,How old was he when he kicked empty?,,,,
"Se on voimassa vasta, kun on potkaissut tyhjää.",Yes. It's only effective after you've kicked the bucket.,It is only valid when you have kicked a blank.,,,,
"Äiti potkaisee tyhjää, kun saa tietää tästä.",No beer. We shouldn't even be doing this here. Mom's gonna die when she finds out about all this.,Mom will be kicking herself when she finds out about this.,,,,
Pukki kaalimaan vartijana.,"You're kind of like the wolf guarding the henhouse, Fred.",Goat as a guard.,,,,
Teillä menee puurot ja vellit sekaisin!,Then why are you comparing apples and oranges?,You&#39;re messing up porridges and vells!,,,,
Kiusallinen rauhansopimus Espanjan kanssa on rikkana rokassa.,There's always the awkward detail of Your Majesty's treaty with Spain.,The awkward peace treaty with Spain is in ruins.,,,,
Siinä oli ruista ranteessa.,"Ooh, is there stuff on that pitch!",It had rye on the wrist.,,,,
"B.A., tiedämme että sinulla on ruista ranteessasi.","And B.A. we know you've got the bulk, baby.","BA, we know you have a ring on your wrist.",,,,
- Hänellä on ruista ranteessa.,She could do anything. Yeah.,- He has a ring on his wrist.,,,,
Ehkä hän haluaa saada heidät kiinni rysän päältä.,I guess he's trying to catch them at it or...,Maybe he wants to catch them red-handed.,,,,
Smith jäi kiinni rysän päältä varastaessaan lapsilta.,Smith was caught red-handed stealing from boys.,Smith was caught red-handed stealing from children.,,,,
Jäikö hän kiinni rysän päältä?,"Oh my God! - What, then you caught her?",Did he get caught in the crossfire?,,,,
Yksi ilta vettä satoi kuin esterin perseestä.,"One night, man, it was just raining like fuck, man.",One night it rained like an ester from an ass.,,,,
Elena lähti soitellen sotaan.,"She went in with no extraction plan, no idea how to find mack.",Elena went off to war calling.,,,,
"Saat käyttöösi tutkia, satelliitteja ja pari lentokonetta. Emme ryntää soitellen sotaan.",Ground troops are still out.,"You get to explore, satellites and a couple of planes. We don&#39;t rush into war.",,,,
Et voi lähteä soitellen sotaan avaruusolentoja vastaan.,Fighting Alchemy or Savitar or aliens isn't something you just show up and try.,You can&#39;t go to war against aliens by calling.,,,,
- Älä soita suutasi.,Don't you brash me.,- Don&#39;t run your mouth.,,,,
Soitit suutasi psykopaattien edessä.,"You had to run your mouth in front of psychopaths, didn't you?",You played your mouth in front of psychopaths.,,,,
"Soitan suutani, mutta sanon harvoin suorat sanat.","I mean, I talk a good game, but I very rarely tell people what I think to their face.","I play with my mouth, but I rarely say direct words.",,,,
"Ja sokerina pohjalla, - minulla on Lontoon paras äänentoistojärjestelmä.",And to top it off... I got the baddest system in all of London.,"And to top it all off, - I have the best sound system in London.",,,,
"Ja sokerina pohjalla Anne Dettrey, muotitoimittajamme.","And last, as a kind of dessert, Anne Dettrey, our fashion editor.","And as sugar on the bottom, Anne Dettrey, our fashion editor.",,,,
Ja sokerina pohjalla - ulkona on limusiinikolonna - valmiina viemään meidät - strippiklubille!,And last but not least... there is a fleet of limos outside... waiting to take us to... a strip club!,And to top it all off - there&#39;s a limousine convoy outside - ready to take us - to the strip club!,,,,
Nyt tulee tupenrapinat.,He's going to be so angry.,Now comes vaginal cramping.,,,,
Nyt tuli tupenrapinat,ROSE! WHAT ARE YOU DOING?,Now came vaginal cramps,,,,
Nyt tuli tupenrapinat.,"- [ Whimpering Laugh ] Oh, I'm in trouble.",Now came vaginal cramps.,,,,
"Toisin kuin sinä, joka vain seisot tumput suorina - minä päätin tehdä jotain.",So unlike you... who seems to be completely comfortable just standing around like some fucking pussy... I decided to do something about it.,"Unlike you, who just stand there dumbfounded - I decided to do something.",,,,
Miksi täällä seistään tumput suorina?,What is everybody doing standing around here?,Why are we standing here straight?,,,,
En voi vain seisoa tumput suorina.,You can't expect me to do nothing.,I just can&#39;t stand up straight.,,,,
"lnfektion mahdollisuus kasvaa joka sekunti, jonka hän on auki. Lisäksi tuhlaat tuhansia dollareita, kun seisot siinä tumput suorina.","The rate of infection for this patient is increasing every second you keep him open, not to mention the thousands of dollars you're wasting standing here doing nothing.","The chance of infection increases every second it is open. Plus, you&#39;ll be wasting thousands of dollars standing there with your butts straight.",,,,
Roger voi tykätä kyttyrää.,- Roger may take a dim view of this...,Roger may like a hunchback.,,,,
"Anna potkut, jos tykkäät kyttyrää.","And if you don't like that, you can just fire me.",Get fired if you like hunchback.,,,,
Taidat tykätä kyttyrää.,- Getting a hint of disapproval.,I guess you like the hunchback.,,,,
-Loppuvaiheen syöpä - laukkaava.,- Terminal cancer. Raging.,- End-stage cancer - galloping.,,,,
"Se oli raju vaihe, jossa Linnunrata nielaisi lähimmät galaksit.",OUR GALAXY TURNS ON ITS COSMIC SIBLINGS.,It was a violent phase where the Milky Way was engulfing the Nearest Galaxies.,,,,
- Pääsemmekö läpi vaiheisilla?,Could we get through with our phasers?,- Will we get through in stages?,,,,
"Luulin, että ryöstelisimme jo tässä vaiheessa pankkeja - emmekä bensarekkoja jossain Jumalan selän takana.","I thought we'd be robbing banks by now, not some gas truck in the middle of nowhere.",I thought we&#39;d already be robbing banks at this point - and not gas trucks somewhere behind God&#39;s back.,,,,
"Voimme varmaankin sanoa, että tässä vaiheessa menitte ojasta allikkoon.",I never thought I'd hear him say that. Safe to say this is when the mission went from the frying pan into the fire.,We can probably say that at this point you went from ditch to ditch.,,,,
Missä vaiheessa aloit tuntea olevasi hukassa?,At what point did you begin to feel lost?,At what point did you start feeling lost?,,,,
Hän on vaihtamassa hiippakuntaa.,He's getting fitted for a halo.,He is changing dioceses.,,,,
"En halua olla vastarannankiiski, mutta nautin tästä.","I think that's the point! I don't mean to be a contrarian, - but I'm enjoying this.","I don&#39;t want to be a rant, but I&#39;m enjoying this.",,,,
Et enää erota vastarannankiiskejä.,No more dismissing anyone who disagrees.,You don&#39;t separate the opposing sides anymore.,,,,
Taisi vetää herneen nenään.,That pissed her off.,I think he pulled a pea up his nose.,,,,
Jotkut vetävät herneen nenään.,"Some people get pissed off, saying we're taking over.",Some pull a pea up their nose.,,,,
Älä vedä hernettä nenään.,Keep your knickers on.,Don&#39;t pull a pea up your nose.,,,,
Olen todella vetänyt hirsiä!,Have I been sawing wood up there!,I&#39;ve really been pulling logs!,,,,
"En, vedän hirsiä kymmeneltä.","No, no, I'll be sawing wood at 10:00.","No, I pull the log at ten.",,,,
Vähän isompana toivoin törmääväni siihen ja vetäväni turpaan.,"When I got older, I wanted to bump into him and beat him up.","When I was a little bigger, I hoped I would run into it and pull the plug.",,,,
- Tuut kans tai vedän turpaan.,You better come back or else I'm gonna kick your ass.,- You bring the lid or I&#39;ll pull the plug.,,,,
Ehkä voisit antaa minulle listan kaikista existäsi jotta tietäisin edes kuka minua seuraavaksi vetää turpaan.,Maybe you could just give me a list of all of your exes so that I can at least know who's going to beat my ass into the ground next.,Maybe you could give me a list of all your exes so I&#39;ll even know who&#39;s going to fuck me next.,,,,
Sitten vinttini pimeni.,And then I...,Then my winch went dark.,,,,
"Sanoin, että vintti pimeni. Olit kauhuissasi.","I said, ""Dead out, he was scared shitless.",I said it got dark. You were terrified.,,,,
Vintti pimeni.,I blacked out.,The wind went dark.,,,,
Ei tarvitse vääntää rautalangasta.,- You don't have to draw me pictures.,No need to twist the iron wire.,,,,
Cheerleaderille pitää kaikki vääntää rautalangasta.,"Jeez, you gotta spell everything out for the cheerleader.","For a cheerleader, everything has to be twisted.",,,,
- Pitääkö minun vääntää rautalangasta?,We should wait for Captain Teitel.,- Do I have to twist the iron wire?,,,,
Yritys hyvä kymmenen.,"Then give him an A for effort, Andy.",Company good ten.,,,,
"Yritys hyvä kymmenen, mutta luulenpa että onnemme loppui.","A great ride, friend. But I have a feeling it's about over.","A good ten, but I think our luck has run out.",,,,
"Yritys hyvä kymmenen, vaikka häviäisitte.","Win or lose, you are giving it your best shot.","Company good ten, even if you lose.",,,,
Kaikki elävät koodinmurtajamme ovat äimän käkenä.,All of our living code breakers are absolutely stumped.,All of our live codebreakers are in good hands.,,,,
- Olenkin äimän käkenä.,"- Yeah, well, I'm fucking surprised.",- I&#39;m a mother-in-law.,,,,
Olin äimän käkenä.,"I'm thinking, ""What the hell?""",I was with my mother.,,,,
Minusta se on äidin näköinen.,"Mum says so, but... looks more like her.",I think it looks like a mother.,,,,
Olet aivan äitisi näköinen.,You look like your mother. Let me help you.,You look exactly like your mother.,,,,
"Sanovat, että olen äidin näköinen.",They say I look like her. - That's because you do.,They say I look like my mother.,,,,
