idiom,lang,meaning,noun_translation
過ちては則ち改むるに憚ること勿れ,jp,,['thing']
過ちは好む所にあり,jp,,"['mistake', 'place']"
過ちを文る,jp,,['mistake']
過ちを観て斯に仁を知る,jp,,"['mistake', 'Jin']"
過ちを観て仁を知る,jp,,"['mistake', 'Jin']"
過つは人の性、許すは神の心,jp,,"['Man', 'sex', 'God', 'heart']"
荒肝を抜く,jp,,['rough liver']
嵐の前の静けさ,jp,,"['Of storm', 'Previous', 'quiet']"
争い果ててのちぎり木,jp,,"['strife', 'at the end', 'Tear off', 'wood']"
争い果てての棒乳切り,jp,,"['strife', 'at the end', 'milk stick', 'cut']"
争い果てての棒千切り,jp,,"['strife', 'at the end', 'rod', 'cut']"
争えない,jp,,[]
新たに沐する者は必ず冠を弾く,jp,,"['person', 'crown']"
荒波に揉まれる,jp,,['rough seas']
有り金をはたく,jp,,['money available']
ありそうでないのが金,jp,,['Money']
有り体に言う,jp,,['solid body']
在りての厭い、亡くての偲び,jp,,"['Being', 'dislike', 'Dead', 'remembrance']"
蟻の穴から堤も崩れる,jp,,"['ant&#39;s', 'hole', 'embankment']"
蟻の甘きにつくが如し,jp,,"['ant&#39;s', 'sweet']"
蟻の思いも天に届く,jp,,"['ant', 'thought', 'Heaven']"
蟻の熊野参り,jp,,"['ant&#39;s', 'visit']"
蟻の這い出る隙もない,jp,,"['ant&#39;s', 'crawl', 'Gap']"
有るか無きか,jp,,[]
歩く足には塵が付く,jp,,"['leg', 'dust']"
ある手からこぼれる,jp,,['hand']
ある時は米の飯,jp,,"['Time', 'rice', 'food']"
ある時払いの催促なし,jp,,"['hourly payment', 'Prompt']"
あるところにはあるもの,jp,,['place']
あるは厭なり思うは成らず,jp,,[]
あるはないに勝る,jp,,[]
アルファでありオメガである,jp,,['alpha']
合わす顔がない,jp,,['face']
会わす顔がない,jp,,['face']
合わせ物は離れ物,jp,,"['object', 'object']"
合わせる顔がない,jp,,['face']
会わせる顔がない,jp,,['face']
慌てる蟹は穴に入れぬ,jp,,"['crab', 'hole']"
慌てる蟹は穴へ入れぬ,jp,,"['crab', 'hole']"
慌てる乞食は貰いが少ない,jp,,"['beggar', 'get']"
阿波に吹く風は讃岐にも吹く,jp,,['Wind']
合わぬ蓋あれば合う蓋あり,jp,,"['lid', 'can be']"
粟一粒は汗一粒,jp,,"['grain', 'one sweat', 'grain']"
鮑の片思い,jp,,"['of abalone', 'unrequited love']"
泡を食う,jp,,['foam']
泡を吹かせる,jp,,['foam']
鮟鱇の待ち食い,jp,,['eating while waiting']
晏子の御,jp,,['control']
暗礁に乗り上げる,jp,,['reef']
案じてたもるより銭たもれ,jp,,['leak']
鞍上人なく、鞍下馬なし,jp,,"['Man', 'under the saddle', 'Horse', 'none']"
案じるより団子汁,jp,,"['dumpling', 'juice']"
案ずるより産むが易し,jp,,[]
アンテナを張る,jp,,['antenna']
安に居て危を思う,jp,,"['cheap', 'danger']"
案に相違する,jp,,['plan']
案に違う,jp,,['plan']
暗夜に灯火を失う,jp,,"['dark night', 'light']"
暗夜の礫,jp,,"['dark night', 'gravel']"
Rの字のない月に牡蠣を食べるな,jp,,"['R.', 'character', 'Moon', 'oyster']"
Rのない月の牡蠣はよくない,jp,,"['R.', 'Moon', 'oyster']"
恋いたほど飽いた,jp,,[]
恋に師匠なし,jp,,"['love', 'master', 'none']"
恋に上下の隔てなし,jp,,"['love', 'up and down', 'Separate', 'none']"
恋の遺恨と食べ物の遺恨は恐ろしい,jp,,"['love', 'grudge', 'food', 'grudge']"
恋の鞘当て,jp,,['love']
鯉の滝登り,jp,,"['carp', 'waterfall', 'climb']"
鯉の一跳ね,jp,,"['carp', 'one jump']"
恋の道には女がさかしい,jp,,"['love', 'road', 'woman']"
恋の病に薬なし,jp,,"['love', 'disease', 'medicine', 'none']"
恋の山には孔子の倒れ,jp,,"['love', 'Mountain', 'fall down']"
恋の闇,jp,,"['Of love', 'darkness']"
恋は曲者,jp,,"['love', 'Ruffian']"
恋は思案の外,jp,,"['love', 'pondering', 'outside']"
恋は仕勝ち,jp,,"['love', 'victory']"
恋は盲目,jp,,"['love', 'blindness', 'eye']"
好一対,jp,,['versus']
紅一点,jp,,['point']
光陰、矢の如し,jp,,"['arrow', 'Like']"
光陰に関守なし,jp,,"['check guard', 'none']"
後悔、先に立たず,jp,,"['regret', 'Destination']"
後悔は知恵の緒,jp,,"['regret', 'wisdom', 'string']"
口角、泡を飛ばす,jp,,"['corner of mouth', 'foam']"
高閣に束ねる,jp,,[]
幸か不幸か,jp,,['Misfortune']
浩瀚,jp,,['Han']
好機逸すべからず,jp,,"['Good', 'machine', 'miss', 'everything']"
肯綮に当たる,jp,,[]
膏血を絞る,jp,,['plaster']
攻撃は最大の防御,jp,,"['attack', 'maximum', 'defense']"
巧言令色、鮮し仁,jp,,"['cleverness', 'order', 'colour']"
江湖,jp,,"['Jiang', 'lake']"
黄口,jp,,['yellow mouth']
孝行のしたい時分に親はなし,jp,,"['Filial piety', 'time', 'parent', 'none']"
孝行も子による,jp,,['Child']
鴻鵠の志,jp,,['will']
後顧の憂い,jp,,"['back', 'sorrow']"
光彩を放つ,jp,,['glow']
功詐は拙誠に如かず,jp,,"['deception', 'clumsiness']"
恒産なき者は恒心なし,jp,,"['annual production', 'do not have', 'person', 'perseverance', 'none']"
功罪相償う,jp,,"['merit and demerit', 'Compensation']"
功罪相半ばする,jp,,"['merit and demerit', 'phase']"
高山の巓には美木なし,jp,,"['coffin', 'Miki', 'none']"
嚆矢,jp,,[]
膠漆の交わり,jp,,"['glue and lacquer', 'intersect']"
孔子も時に遇わず,jp,,['Time']
後車の戒め,jp,,"['rear car', 'commandment']"
攻守所を変える,jp,,"['offense and defense', 'place']"
攻守所を異にする,jp,,"['offense and defense', 'place', 'different']"
好事、魔多し,jp,,"['good luck', 'Mata']"
口耳の学,jp,,"['mouth and ears', 'learning']"
好事門を出でず、悪事千里を行く,jp,,"['good luck', 'gate', 'bad deed']"
後塵を拝する,jp,,['trailing behind']
後生、畏るべし,jp,,"['posterity', 'to be feared']"
孔席暖まらず、墨突黔まず,jp,,['gold']
黄泉の客,jp,,"['underworld', 'guest']"
浩然の気,jp,,['air']
浩然の気を養う,jp,,['air']
公然の秘密,jp,,"['openly', 'secret']"
巧遅は拙速に如かず,jp,,"['skillful and slow', 'hasty']"
口中の虱,jp,,"['mouth', 'lice']"
荒唐の言,jp,,['words']
紅灯の巷,jp,,['street']
狡兎死して走狗烹らる,jp,,"['death', 'running dog']"
功成り名遂げて身退くは天の道なり,jp,,"['withdraw', 'Heaven', 'road', 'Nari']"
功成り名を遂げる,jp,,"['Achievement', 'Name']"
効能書きの読めぬ所に効能あり,jp,,"['efficacy', 'Writing', 'place', 'efficacy', 'can be']"
甲の薬は乙の毒,jp,,"['instep', 'medicine', 'B&#39;s', 'poison']"
孝は百行の本,jp,,['Book']
甲張り強くして家押し倒す,jp,,"['instep', 'house pusher']"
好物に祟りなし,jp,,"['favorite', 'curse', 'none']"
弘法、筆を択ばず,jp,,"['propaganda', 'writing brush']"
弘法にも筆の誤り,jp,,"['writing brush', 'error']"
高木は風に折らる,jp,,['Wind']
子馬の朝駆け,jp,,['pony']
高慢は出世の行き止まり,jp,,"['Pride', 'promotion', 'stop']"
功名を竹帛に垂る,jp,,"['achievement', 'bamboo cloth', 'drip']"
蝙蝠も鳥のうち,jp,,"['bat', 'bird', 'home']"
紺屋の明後日,jp,,"['after tomorrow', 'Day']"
紺屋の白袴,jp,,"['White', 'Hakama']"
甲由田申は筆者の誤り、十点千字は継母の謀,jp,,"['author', 'error', 'ten points', '1,000 characters', 'stepmother', 'conspiracy']"
甲羅を経る,jp,,['shell']
甲羅を干す,jp,,['shell']
蛟竜、雲雨を得,jp,,"['cloud rain', 'get']"
亢竜、悔いあり,jp,,"['regret', 'can be']"
黄粱一炊の夢,jp,,['dreams']
黄粱の一炊,jp,,['cooking']
黄粱の夢,jp,,['dreams']
紅涙を絞る,jp,,['red tears']
香炉峰の雪は簾をかかげて見る,jp,,"['incense burner', 'peak', 'snow', 'blinds']"
稿を起こす,jp,,['manuscript']
声が潤む,jp,,['voice']
声が掛かる,jp,,['voice']
声が潰れる,jp,,['voice']
声が弾む,jp,,['voice']
声なきに聴き、形なきに視る,jp,,"['voiceless', 'shape']"
声なくして人を呼ぶ,jp,,"['voice', 'Man']"
声を落とす,jp,,['voice']
声を限りに,jp,,['voice']
声を掛ける,jp,,['voice']
声を嗄らす,jp,,['voice']
声を曇らす,jp,,['voice']
声を殺す,jp,,['voice']
声を絞る,jp,,['voice']
声を揃える,jp,,['voice']
声を立てる,jp,,['voice']
声を大にする,jp,,"['voice', 'Big']"
声を作る,jp,,['voice']
声を呑む,jp,,['voice']
声を潜める,jp,,['voice']
声を振り絞る,jp,,['voice']
小男の腕立て,jp,,['small man']
小男の総身の知恵も知れたもの,jp,,"['small man', 'whole body', 'wisdom']"
氷に鏤め、脂に描く,jp,,"['ice', 'Fat']"
氷は水より出でて水よりも寒し,jp,,"['ice', 'water', 'water']"
古希,jp,,['70 years old']
小気味がいい,jp,,"['small', 'feeling']"
故郷へ錦を飾る,jp,,"['Hometown', 'Nishiki']"
故郷忘じ難し,jp,,['Hometown']
告朔の餼羊,jp,,"['confession', 'sheep']"
国手,jp,,['skilled physician']
黒白を争う,jp,,['black and white']
黒白を弁せず,jp,,['black and white']
苔が生える,jp,,['moss']
こけた上を踏まれる,jp,,['Up']
虎穴に入らずんば虎子を得ず,jp,,"['tiger', 'hole', 'tiger', 'Child']"
虚仮にする,jp,,['fictitious']
虚仮の一心,jp,,['single-minded']
こけら落とし,jp,,"['Kokera', 'drop']"
沽券に関わる,jp,,['bill of sale']
股肱の臣,jp,,['vassal']
糊口を凌ぐ,jp,,['threshold']
虎口を脱する,jp,,"['tiger', 'mouth']"
虎口を逃れて竜穴に入る,jp,,"['tiger', 'mouth', 'dragon hole']"
呱呱の声を上げる,jp,,['voice']
呱々の声を上げる,jp,,['voice']
ここばかりに日は照らぬ,jp,,['Day']
心が洗われる,jp,,['heart']
心が動かされる,jp,,['heart']
心が動く,jp,,['heart']
心が躍る,jp,,['heart']
心が重い,jp,,['heart']
心が通う,jp,,['heart']
心がこもる,jp,,['heart']
心が騒ぐ,jp,,['heart']
心が通ずる,jp,,['heart']
心が弾む,jp,,['heart']
心が乱れる,jp,,['heart']
心ここに在らざれば視れども見えず,jp,,"['heart', 'can see']"
志ある者は事竟に成る,jp,,"['person', 'circumstance']"
志は髪の筋,jp,,"['will', 'hair', 'logic']"
志は木の葉に包む,jp,,"['will', 'wood', 'leaf']"
心に浮かぶ,jp,,['heart']
心に掛ける,jp,,['heart']
心に懸ける,jp,,['heart']
心に刻む,jp,,['heart']
心につるる姿,jp,,"['heart', 'Appearance']"
心に留める,jp,,['heart']
心に残る,jp,,['heart']
心の鬼が身を責める,jp,,"['heart', 'demon', 'body']"
心の駒に手綱許すな,jp,,"['heart', 'piece', 'reins']"
心の師とはなれ心を師とせざれ,jp,,"['heart', 'teacher', 'heart', 'teacher']"
心の欲する所に従えども矩を踰えず,jp,,"['heart', 'place', 'square']"
心は二つ身は一つ,jp,,"['heart', 'one', 'body', 'one']"
心ほどの世を経る,jp,,"['heart', 'world']"
心安いは不和の基,jp,,"['discord', 'group']"
心を合わせる,jp,,['heart']
心を致す,jp,,['heart']
心を痛める,jp,,['heart']
心を入れ替える,jp,,['heart']
心を動かす,jp,,['heart']
心を打つ,jp,,['heart']
心を移す,jp,,['heart']
心を躍らせる,jp,,['heart']
心を鬼にする,jp,,"['heart', 'demon']"
心を傾ける,jp,,['heart']
心を砕く,jp,,['heart']
心を配る,jp,,['heart']
心を汲む,jp,,['heart']
心を引かれる,jp,,['heart']
心を乱す,jp,,['heart']
心を許す,jp,,['heart']
心を寄せる,jp,,['heart']
小言八百愚痴千粒,jp,,"['scolding', 'stupidity', 'grain']"
子三人、子宝,jp,,"['Man', 'children']"
腰が重い,jp,,['waist']
腰が砕ける,jp,,['waist']
腰が据わる,jp,,['waist']
腰が強い,jp,,['waist']
腰が抜ける,jp,,['waist']
腰が低い,jp,,['waist']
腰が弱い,jp,,['waist']
甑に坐するが如し,jp,,['Koshiki']
孤掌鳴らし難し,jp,,"['lonely palm', 'Difficult to ring']"
胡椒の丸呑み,jp,,"['pepper', 'Swallow']"
腰を上げる,jp,,['waist']
腰を浮かす,jp,,['waist']
腰を落ち着ける,jp,,['waist']
腰を折る,jp,,['waist']
腰を据える,jp,,['waist']
腰を抜かす,jp,,['waist']
乞食にも門出,jp,,"['beggar', 'gate', 'go out']"
乞食にも三つの理屈,jp,,"['beggar', 'one', 'reason']"
乞食の朝謡,jp,,"['beggar', 'Morning', 'song']"
乞食の系図話,jp,,"['genealogy', 'Talk']"
乞食の子も三年経てば三つになる,jp,,"['beggar', 'Child', 'Year', 'one']"
乞食の断食,jp,,"['beggar', 'fasting']"
乞食も場所,jp,,"['beggar', 'place']"
乞食を三日すればやめられぬ,jp,,['beggar']
小姑一人は鬼千匹にむかう,jp,,"['mother-in-law', 'One person', 'horse']"
古人の糟魄,jp,,"['ancient people', 'dregs', 'Paku']"
姑息,jp,,['palliative']
炬燵で河豚汁,jp,,"['Kotatsu', 'puffer fish', 'juice']"
子宝、脛が細る,jp,,"['children', 'shin']"
壺中の天地,jp,,"['in a pot', 'Heaven', 'ground']"
胡蝶の夢,jp,,['dreams']
凝っては思案に余る,jp,,"['elaborately', 'pondering']"
木っ端を拾うて材木を流す,jp,,"['piece of wood', 'timber']"
コップの中の嵐,jp,,"['Cup', 'In', 'storm']"
骨肉相食む,jp,,"['meat and bones', 'phase']"
小爪を拾う,jp,,[]
子で子にならぬ時鳥,jp,,"['Child', 'Child', 'Time', 'bird']"
事ある時は仏の足を戴く,jp,,"['there is something', 'Time', 'Buddha', 'leg']"
事がな笛吹かん,jp,,"['case', 'whistle', 'Blowing']"
事が延びれば尾鰭が付く,jp,,"['case', 'caudal fin']"
事が運ぶ,jp,,['case']
事ここに至る,jp,,['case']
尽く書を信ずれば即ち書なきに如かず,jp,,"['Exhaust', 'book', 'unwritten']"
琴柱に膠す,jp,,[]
言伝は荷にならぬ,jp,,"['legend', 'load']"
事と次第によっては,jp,,"['case', 'depend on']"
事とせず,jp,,['case']
事ともしない,jp,,['case']
事ともせず,jp,,['case']
事に当たる,jp,,['case']
事に触れて,jp,,['case']
事によると,jp,,['case']
言葉多きは品少なし,jp,,"['words', 'many']"
言葉が過ぎる,jp,,['words']
言葉尻を捕らえる,jp,,"['words', 'ass']"
言葉に甘える,jp,,['words']
言葉に余る,jp,,['words']
言葉の綾,jp,,"['words', 'Aya']"
言葉は国の手形,jp,,"['words', 'Country', 'hand', 'shape']"
言葉は心の使い,jp,,"['words', 'heart', 'use']"
言葉を返す,jp,,['words']
言葉を飾る,jp,,['words']
言葉を尽くす,jp,,['words']
言葉を濁す,jp,,['words']
事もあろうに,jp,,['case']
事を起こす,jp,,['case']
事を欠く,jp,,['case']
事を構える,jp,,['case']
事を好む,jp,,['case']
事を運ぶ,jp,,['case']
事を分ける,jp,,['case']
事を割る,jp,,['case']
子供川端、火の用心,jp,,"['child', 'fire', 'caution']"
子供叱るな来た道だもの年寄り笑うな行く道だもの,jp,,"['child', 'scold', 'road', 'thing', 'Year', 'near', 'road']"
子供好きに子なし,jp,,"['child', 'Child', 'none']"
子供の喧嘩に親が出る,jp,,"['child', 'fight', 'parent']"
子供の使い,jp,,"['child', 'use']"
子供の根問い,jp,,"['child', 'root question']"
子供は教え殺せ、馬は飼い殺せ,jp,,"['child', 'Horse']"
子供は風の子、大人は火の子,jp,,"['child', 'child of the wind', 'adult']"
小鍋はじきに熱くなる,jp,,"['small pot', 'soon']"
子に過ぎたる宝なし,jp,,['Child']
子に引かるる親心,jp,,"['Child', 'affection']"
小糠三合あったら婿に行くな,jp,,"['rice bran', 'son-in-law']"
この親にしてこの子あり,jp,,"['parent', 'this child', 'can be']"
子の心、親知らず,jp,,"['Child', 'heart', 'and others']"
この父あって、ここにこの子あり,jp,,"['father', 'this child', 'can be']"
子はあるも嘆き、なきも嘆き,jp,,"['Child', 'do not have', 'grief']"
子は産むも心は生まぬ,jp,,"['Child', 'heart', 'Raw']"
子は鎹,jp,,['Child']
子は三界の首枷,jp,,"['Child', 'neck', 'shackles']"
胡馬、北風に嘶く,jp,,"['horse', 'north wind']"
鼓舞,jp,,['Encouragement']
小船の宵拵え,jp,,"['boat', 'evening']"
子ほど喜ばせにくいものはなく親ほど喜ばせやすいものはない,jp,,"['Child', 'thing', 'parent', 'thing']"
小股が切れ上がる,jp,,[]
小股を掬う,jp,,[]
小股を取る,jp,,['small leg']
独楽鼠のよう,jp,,"['top', 'mouse', 'Yo']"
駒の朝走り,jp,,"['piece', 'morning run']"
独楽の舞い倒れ,jp,,"['top', 'Dance', 'fall down']"
小耳に挟む,jp,,[]
虚無僧に尺八,jp,,"['nothingness', 'monk', 'shaku']"
米食った犬が叩かれずに糠食った犬が叩かれる,jp,,"['dog', 'rice bran', 'dog']"
米の飯と女は白いほどよい,jp,,"['rice', 'food', 'woman']"
米の飯と天道様はどこへ行っても付いて回る,jp,,"['rice', 'food', 'Tendou', 'Yo']"
米の飯より思し召し,jp,,"['rice', 'food', 'wish']"
米を数えて炊ぐ,jp,,['rice']
子ゆえの闇に迷う,jp,,"['child', 'darkness']"
これはしたり,jp,,[]
転がる石には苔が生えぬ,jp,,"['stone', 'moss']"
転ばぬ先の杖,jp,,"['Destination', 'cane']"
衣ばかりで和尚はできぬ,jp,,"['clothes', 'priest']"
転んでもただでは起きない,jp,,[]
コロンブスの卵,jp,,['egg']
怖い物見たさ,jp,,[]
子を知ること父に若くはなし,jp,,"['Child', 'thing', 'father', 'none']"
子を棄つる藪はあれど身を棄つる藪はなし,jp,,"['Child', 'body', 'bush', 'none']"
子を見ること親に如かず,jp,,"['Child', 'thing', 'parent']"
子を持って知る親の恩,jp,,"['Child', 'parent', 'favor']"
今昔の感,jp,,"['past and present', 'feeling']"
今度と化け物には行き会った事がない,jp,,"['next time', 'monster', 'case']"
蒟蒻で石垣を築く,jp,,"['Konjac', 'stone wall']"
コンマ以下,jp,,"['comma', 'Less than']"
紺屋の明後日,jp,,"['after tomorrow', 'Day']"
金輪際,jp,,"['gold ring', 'edge']"
根を詰める,jp,,['root']
才余りありて識足らず,jp,,['and others']
塞翁が馬,jp,,['Horse']
歳寒の松柏,jp,,"['pine', 'oak']"
災害は忘れた頃にやってくる,jp,,"['disaster', 'Around']"
細工は流流、仕上げをご覧じろ,jp,,"['Workmanship', 'flow', 'finish']"
細工は流々、仕上げをご覧じろ,jp,,"['Workmanship', 'flowing', 'finish']"
細工貧乏人宝,jp,,"['Workmanship', 'poverty', 'poor man', 'Treasure']"
歳月、人を待たず,jp,,"['years', 'Man']"
最後に笑う者が最もよく笑う,jp,,"['last', 'person']"
最後は人の嗜み,jp,,"['last', 'Man', 'Taste']"
最後を飾る,jp,,['last']
最期を遂げる,jp,,['last moment']
幸先がいい,jp,,['fortune']
才子、才に倒れる,jp,,"['gifted child', 'Talent']"
最初で最後,jp,,"['first time', 'last']"
妻子を置く所が故郷,jp,,"['wife and child', 'place', 'Hometown']"
采薪の憂い,jp,,['sorrow']
彩ずる仏の鼻を欠く,jp,,"['Buddha', 'nose']"
済世の志,jp,,['will']
細大漏らさず,jp,,"['tiny', 'leak']"
才槌で庭掃く,jp,,"['small wooden mallet', 'sweep the garden']"
災難なら畳の上でも死ぬ,jp,,"['calamity', 'tatami', 'Up', 'death']"
災難の先触れはない,jp,,"['calamity', 'Harbinger']"
才に走る,jp,,['Talent']
賽の河原,jp,,['Dice']
采配を振る,jp,,['control']
賽は投げられた,jp,,['Dice']
財布の底と心の底は人に見せるな,jp,,"['wallet', 'bottom', 'heart', 'bottom', 'Man']"
財布の紐が堅い,jp,,"['wallet', 'string']"
財布の紐は首に掛けるより心に掛けよ,jp,,"['wallet', 'string', 'neck', 'heart']"
財布を握る,jp,,['wallet']
竿竹で星を打つ,jp,,"['bamboo pole', 'Star']"
竿の先の鈴,jp,,"['rod', 'Destination', 'bell']"
棹は三年、櫓は三月,jp,,"['rod', 'Year', 'scaffold', 'Moon']"
逆立ちしても,jp,,['handstand']
魚は殿様に焼かせよ餅は乞食に焼かせよ,jp,,"['fish', 'lord', 'Yomochi']"
酒外れはせぬもの,jp,,[]
酒戻しはせぬもの,jp,,['Sake return']
酒屋へ三里、豆腐屋へ二里,jp,,"['liquor store', 'Sanri', 'tofu', 'Ya', 'village']"
盛りがつく,jp,,['portion']
先勝ちは糞勝ち,jp,,"['win first', 'blood']"
先が見える,jp,,['Destination']
先立つ物,jp,,"['predecessor', 'Tsumono']"
先立つ物は金,jp,,['Money']
先を争う,jp,,['Destination']
先を越す,jp,,['Destination']
先を読む,jp,,['Destination']
先んずれば則ち人を制す,jp,,['Man']
先んずれば人を制す,jp,,['Man']
鷺と烏,jp,,"['with a heron', 'crow']"
鷺を烏,jp,,"['heron', 'crow']"
鷺を烏と言いくるめる,jp,,"['heron', 'crow']"
策士、策に溺れる,jp,,"['schemer', 'measure']"
桜折る馬鹿、柿折らぬ馬鹿,jp,,"['fool', 'fool']"
桜切る馬鹿、梅切らぬ馬鹿,jp,,"['fool', 'plum', 'fool']"
桜は花に顕われる,jp,,"['Cherry Blossoms', 'flower']"
簀を易う,jp,,['screen']
策を講じる,jp,,['measure']
策を弄する,jp,,['measure']
探りを入れる,jp,,['explore']
酒買って尻切られる,jp,,[]
酒が酒を飲む,jp,,"['Liquor', 'Liquor']"
酒極って乱となる,jp,,"['Sake extremity', 'Disturbance']"
酒と朝寝は貧乏の近道,jp,,"['Liquor', 'sleeping in the morning', 'Poverty', 'shortcut']"
酒と産には懲りた者がない,jp,,"['Liquor', 'product', 'person']"
酒なくて何の己が桜かな,jp,,['myself']
酒に十の徳あり,jp,,"['Liquor', 'Virtue', 'can be']"
酒に別腸あり,jp,,"['Liquor', 'another', 'intestine', 'can be']"
酒飲み、本性違わず,jp,,"['drunkard', 'nature']"
酒は憂いの玉箒,jp,,"['Liquor', 'sorrow', 'ball', 'broom']"
酒は燗、肴は刺身、酌は髱,jp,,"['Liquor', 'Warm', 'Appetizer', 'sashimi', 'drink', 'doe']"
酒は三献に限る,jp,,"['Liquor', 'three offerings']"
酒は天の美禄,jp,,"['Liquor', 'Heaven', 'Miroku']"
酒は飲むとも飲まるるな,jp,,['Liquor']
酒は飲むべし飲むべからず,jp,,['Liquor']
酒は百毒の長,jp,,"['Liquor', 'long']"
酒は百薬の長,jp,,"['Liquor', 'hundred medicines', 'long']"
酒は本心を現す,jp,,"['Liquor', 'sincerity']"
笹の葉に鈴,jp,,"['of bamboo', 'leaf', 'bell']"
囁き千里,jp,,['Sato']
差しつ差されつ,jp,,['one']
刺身のつま,jp,,"['sashimi', 'wife']"
匙の先より口の先,jp,,"['of a spoon', 'Destination', 'mouth', 'Destination']"
砂上の楼閣,jp,,"['on the sand', 'pavilion']"
匙を投げる,jp,,['spoon']
左遷,jp,,['relegation']
沙汰の限り,jp,,"['situation', 'as long as']"
左袒,jp,,['left']
沙中の偶語,jp,,"['even', 'word']"
察しが付く,jp,,['Guess']
札片を切る,jp,,['bill']
薩摩守,jp,,['Mamoru']
蹉跌,jp,,['deed']
里心が付く,jp,,['Satoshin']
悟ろうと思うも迷い,jp,,['hesitation']
鯖の生き腐れ,jp,,['of mackerel']
鯖を読む,jp,,['mackerel']
様になる,jp,,['Yo']
寒さ小便、ひだるさ欠伸,jp,,"['small', 'Flight', 'yawn']"
寒さの果ても涅槃まで,jp,,"['end', 'nirvana']"
然もあらばあれ,jp,,['Yes']
遮莫,jp,,[]
鞘当て,jp,,[]
鞘走りより口走り,jp,,"['scabbard', 'word of mouth']"
鞘を取る,jp,,['sheath']
左右の手を失うが如し,jp,,"['left and right', 'hand']"
白湯を飲むよう,jp,,['plain hot water']
晒し者になる,jp,,['exposer']
皿嘗めた猫が科を負う,jp,,"['plate', 'Cat', 'Department']"
去り跡へ行くとも死に跡へ行くな,jp,,"['Trace', 'death', 'Trace']"
猿知恵,jp,,['Megumi']
猿に烏帽子,jp,,"['monkey', 'crow', 'hat']"
猿に木登り,jp,,"['monkey', 'tree climbing']"
猿の尻笑い,jp,,"['monkey', 'laughter']"
猿の水練、魚の木登り,jp,,"['monkey', 'Mizuneri', 'fish', 'tree climbing']"
猿の人真似,jp,,"['human truth', 'Similar']"
猿は人間に毛が三筋足らぬ,jp,,"['monkey', 'human', 'hair', 'logic']"
猿も木から落ちる,jp,,"['monkey', 'wood']"
去る者は追わず,jp,,['person']
去る者は追わず、来る者は拒まず,jp,,"['person', 'person']"
去る者は日日に疎し,jp,,"['person', 'days and days']"
去る者は日々に疎し,jp,,"['person', 'day to day']"
触らぬ神に祟りなし,jp,,"['God', 'curse', 'none']"
触り三百,jp,,['touch']
山雨来らんとして、風、楼に満つ,jp,,"['mountain rain', 'don&#39;t come', 'tower']"
三界に家なし,jp,,"['three realms', 'House', 'none']"
三界の火宅,jp,,"['three realms', 'burning house']"
三軍も帥を奪うべきなり、匹夫も志を奪うべからず,jp,,"['army', 'Marshal', 'rustic', 'will']"
三顧,jp,,['customer']
三顧の礼,jp,,['gratitude']
三国一,jp,,['Mikuni']
三五の十八,jp,,[]
三歳の翁、百歳の童子,jp,,"['age', 'old man']"
三舎を避く,jp,,['Sansha']
山椒は小粒でもぴりりと辛い,jp,,"['Japanese pepper', 'piriri']"
三尺下がって師の影を踏まず,jp,,"['shaku', 'teacher', 'Shadow']"
傘寿,jp,,['Umbrella Kotobuki']
三従,jp,,['servant']
三十九じゃもの花じゃもの,jp,,['flower']
三十にして立つ,jp,,[]
三十の尻括り,jp,,['buttocks']
三十振袖、四十島田,jp,,"['ten swings', 'sleeve']"
三十六計逃げるに如かず,jp,,['Total']
三寸の舌に五尺の身を亡ぼす,jp,,"['tongue', 'shaku', 'body']"
三寸の舌を掉う,jp,,['tongue']
三寸の見直し,jp,,"['Three inches', 'look over']"
三寸俎板を見抜く,jp,,"['measuring', 'board']"
三省,jp,,['Ministry']
三代続けば末代続く,jp,,"['teenager', 'last generation']"
山中の賊を破るは易く心中の賊を破るは難し,jp,,"['bandit', 'Suicide', 'bandit']"
山中暦日なし,jp,,"['Mountain', 'middle calendar', 'Day', 'none']"
三度の火事より一度の後家,jp,,"['Every time', 'fire', 'Every time', 'rear', 'House']"
三度の飯も強し柔らかし,jp,,"['Every time', 'food']"
三度の飯より好き,jp,,"['Every time', 'food']"
三度目の正直,jp,,"['Every time', 'eye', 'honest']"
三度目は定の目,jp,,"['Every time', 'eye', 'constant', 'eye']"
三人、市虎を成す,jp,,"['three people', 'city', 'tiger']"
三人、虎を成す,jp,,"['three people', 'tiger']"
三人行えば必ずわが師あり,jp,,"['three people', 'definitely mine', 'teacher', 'can be']"
三人子持ちは笑うて暮らす,jp,,"['three people', 'having children']"
三人知れば世界中,jp,,"['three people', 'world', 'During ~']"
三人旅の一人乞食,jp,,"['three people', 'Journey', 'One person', 'beggar']"
三人寄れば姦しい,jp,,['three people']
三人寄れば公界,jp,,"['three people', 'public world']"
三人寄れば文殊の知恵,jp,,"['three people', 'wisdom']"
三年、飛ばず鳴かず,jp,,"['Year', 'ring without flying']"
三年経てば三つになる,jp,,"['Year', 'one']"
三拝九拝する,jp,,[]
三拍子揃う,jp,,['three beats']
酸鼻を極める,jp,,['sour nose']
三遍回って煙草にしょ,jp,,['tobacco']
三余,jp,,['the rest']
三楽,jp,,['easy']
算を乱す,jp,,['Calculate']
仕上げが肝心,jp,,['finish']
思案投げ首,jp,,"['pondering', 'Throw', 'neck']"
思案に余る,jp,,['pondering']
