idiom,lang,meaning,noun_translation
जल में रहकर मगर से बैर ठीक नहीं,hi,It is hard to live in Rome and strive against the Pope.,"['water', 'hater']"
जाति ना पूछो साधु की; पूछ लीजिए ज्ञान,hi,Don't judge a book by its cover.,"['Caste', 'Saint', 'Knowledge']"
इश्क अंधा होता है,hi,Love is blind.,['love']
जान है तो जहान है,hi,"there is life, there is world.","['Life', 'world']"
अधगल गगरी छलकत जाये,hi,Those with little knowledge keep showing it. Those who know all are calm/silent.,['small pot']
अंधों में काना राजा,hi,A one-eyed man is king amongst blind men.,['blind']
गर्जने वाले बदल बरसते नहीं हैं,hi,Those who make the most threats seldom do anything,[]
जितनी लम्बी चादर हो पैर उतने ही फैलाना चाहिए,hi,Limit your Spending To your Earnings.,"['sheet', 'feet']"
सौ सुनार की एक लोहार की,hi,The power in one blow of hammer used by blacksmith equals hundred blows of hammer used by goldsmith,"['Goldsmith', 'Blacksmith']"
ओखली में सर दिया तोह मूसलों से क्या डरना,hi,If you have started a difficult task don't bother about what's going to happen.,"['Sir', 'pestle']"
जहाँ चाह वहाँ राह,hi,where there is a will there is a way,['way']
काला अक्षर भैंस बराबर,hi,both black letters and black buffalo appear same to an illiterate person,"['Letter', 'Buffalo']"
अपना हाथ जगन्नाथ,hi,It says that one should not depend on others to do any work but have faith in his own hardwork to do the same.,['Hand']
आप सुखी तो जग सुखी,hi,He that is warm thinks all are so,['happy']
आम से टपका बगल में अटका,hi,ut of the frying pan into the fire.,"['Common', 'side']"
अपने मुहं मियां मिट्ठू मत बनो,hi,Self praise is no recommendation,['Muaan']
आगे दौड़ पीछे चौड,hi,Haste makes waste/Hurry spoils curry,[]
आँख ओझल पहाड़ ओझल,hi,"Out of sight, out of mind.",['eye']
आवश्यकता अविष्कार की जननी है,hi,Necessity is the mother of invention.,"['Need', 'the invention']"
अन्धा क्या जाने बसंत की बहार,hi,A blindman is no judge of colours.,"['blind', 'Spring', 'spring']"
अपना अपना,hi,Blood is thicker than water.,[]
अच्छा वही जो अच्छा कार्य करे,hi,Handsome is that handsome does,['Work']
इलाज से परहेज अच्छा,hi,Prevention is batter than cure.,"['treatment', 'abstinence']"
ऊंट के मुहं में जीरा,hi,A drop of the ocean.,"['Camel', 'Muaan', 'Cumin']"
उपदेश देने से स्वयं उपदेशों पर चलना बेहतर है,hi,Example is better than precept,"['Sermon', 'Sermon']"
एक पंथ दो काज,hi,Two kill two birds with one stone.,"['cult', 'hinge']"
एकता में बल,hi,Union is Strength.,"['Unity', 'Force']"
एक चुप सौ सुख,hi,Silence is the best,['Happiness']
एक गंदी मछली सारे तालाब को गंदा कर देती है,hi,A single sheep infects the whole flock.,"['fish', 'Pond']"
ऊँची दुकान फीका पकवान,hi,"Much cry, little wool.","['shop', 'dish']"
कर भला हो भला,hi,Godness never goes unrewarded.,['do']
कोठी वाला रोये छप्पर वाला सोये,hi,Uneasy lies the head that wears the crown,"['kothi', 'Thatch']"
कुत्ते का कुत्ता बैरी,hi,Two of a trade seldom agree.,"['dog', 'dog']"
कद्र खोद देता है रोज का आना जाना,hi,Familiarity breeds contempt,"['respect', 'Daily']"
ああ言えばこう言う,jp,,[]
愛多ければ憎しみ至る,jp,,[]
愛嬌を振りまく,jp,,['charm']
愛敬を振りまく,jp,,['love and respect']
匕首に鍔,jp,,"['dagger', 'Tsuba']"
合言葉にする,jp,,['secret word']
挨拶は時の氏神,jp,,"['Greeting', 'Time', 'Mr', 'God']"
挨拶より円札,jp,,"['Greeting', 'Yen bill']"
相性が悪い,jp,,['Compatibility']
合性が悪い,jp,,['compatibility']
愛想が尽きる,jp,,['sociability']
愛想が尽きる,jp,,['sociability']
愛想づかしも金から起きる,jp,,"['sociability', 'suspicion', 'Money']"
愛想も小想も尽き果てる,jp,,"['sociability', 'fiction']"
愛想を尽かす,jp,,['sociability']
相対のことはこちゃ知らぬ,jp,,"['relative', 'thing']"
開いた口が塞がらない,jp,,['mouth']
開いた口には戸はたたぬ,jp,,"['mouth', 'door']"
開いた口へ牡丹餅,jp,,"['peony', 'Mochi']"
相槌を打つ,jp,,['backtracking']
相手変われど主変わらず,jp,,"['partner', 'change', 'main change']"
相手にとって不足はない,jp,,"['partner', 'shortage']"
相手のさする功名,jp,,"['partner', 'achievement']"
相手のない喧嘩はできぬ,jp,,"['partner', 'fight']"
相手見てからの喧嘩声,jp,,"['partner', 'fight', 'voice']"
合いの手を入れる,jp,,"['meeting', 'hand']"
愛の鞭,jp,,"['Of love', 'whip']"
愛は惜しみなく与う,jp,,"['Love', 'regret']"
愛は惜しみなく奪う,jp,,"['Love', 'regret']"
愛は小出しにせよ,jp,,"['Love', 'small amount']"
愛は憎悪の始め,jp,,"['Love', 'hatred', 'start']"
相惚れ自惚れ片惚れ岡惚れ,jp,,"['in love', 'unrequited love']"
合間を縫う,jp,,['interval']
相も変わらず,jp,,['phase']
逢い戻りは鴨の味,jp,,"['reunion', 'duck', 'taste']"
会うは別れの始め,jp,,['farewell']
逢うは別れの始め,jp,,['farewell']
合うも不思議合わぬも不思議,jp,,"['non', 'inconsistent', 'wonder']"
阿吽の呼吸,jp,,['breathing']
敢えて主とならず客となる,jp,,"['main', 'guest']"
会えば五厘の損がゆく,jp,,"['five cents', 'loss']"
仰いで唾を吐く,jp,,['spit in']
仰いで天に愧じず,jp,,['Heaven']
青い鳥,jp,,['bird']
青柿が熟柿弔う,jp,,['ripe persimmon']
青くなる,jp,,[]
青写真を描く,jp,,"['blue', 'Photo']"
青筋を立てる,jp,,[]
青田買い,jp,,[]
青菜に塩,jp,,"['Green vegetables', 'salt']"
青二才,jp,,"['blue', 'Talent']"
青は藍より出でて藍より青し,jp,,"['blue', 'Indigo', 'From indigo']"
青葉は目の薬,jp,,"['eye', 'medicine']"
青表紙を叩いた者にはかなわぬ,jp,,"['Blue table', 'paper', 'person']"
煽りを食う,jp,,['provocation']
赤いは酒の咎,jp,,"['Of liquor', 'blame']"
垢が抜ける,jp,,['dirt']
赤くなる,jp,,[]
赤子のうちは七国七里の者に似る,jp,,"['baby', 'home', 'seven countries', 'Shichiri', 'person']"
赤子の腕を捩じる,jp,,"['baby', 'arm']"
赤子の手をねじる,jp,,"['baby', 'hand']"
赤子の手を捩じるよう,jp,,"['baby', 'hand']"
赤子の手を捻る,jp,,"['baby', 'hand']"
赤子の手を捻るよう,jp,,"['baby', 'hand']"
赤子は泣き泣き育つ,jp,,"['baby', 'crying']"
赤子を裸にしたよう,jp,,"['baby', 'naked']"
証が立つ,jp,,['proof']
証を立てる,jp,,['proof']
赤信号が付く,jp,,['issue']
赤信号が点く,jp,,['issue']
赤恥をかく,jp,,[]
垢で死んだ者はない,jp,,"['dirt', 'person']"
垢抜ける,jp,,[]
赤の他人,jp,,"['red', 'other', 'Man']"
垢は擦るほど出る、あらは探すほど出る,jp,,"['dirt', 'be']"
赤恥をかく,jp,,[]
赤恥を搔く,jp,,[]
垢も身のうち,jp,,"['dirt', 'body', 'home']"
明るけりゃ月夜だと思う,jp,,"['If it&#39;s bright', 'moonlit night']"
明るみに出る,jp,,['brightness']
赤を入れる,jp,,['red']
足掻きが取れない,jp,,['struggling']
秋荒れ半作,jp,,"['stormy autumn', 'half', 'work']"
秋風が立つ,jp,,['Autumn breeze']
秋風と夫婦喧嘩は日が入りゃ止む,jp,,"['couple', 'fight', 'Day', 'stop']"
飽きが来る,jp,,['get bored']
空樽は音が高い,jp,,"['empty barrel', 'sound']"
商い三年,jp,,"['business', 'Year']"
商い上手の仕入れ下手,jp,,"['business', 'Purchase', 'poor']"
商いは牛の涎,jp,,"['business', 'saliva']"
商いは数でこなせ,jp,,"['business', 'number']"
商いは門門,jp,,"['business', 'gate']"
商いは門々,jp,,['business']
商いは草の種,jp,,"['business', 'Grassy', 'seed']"
商いは本にあり,jp,,"['business', 'Book']"
秋茄子は嫁に食わすな,jp,,['bride']
秋の雨が降れば猫の顔が三尺になる,jp,,"['autumn', 'rain', 'Cat', 'face', 'shaku']"
秋の入り日と年寄りはだんだん落ち目が早くなる,jp,,"['autumn', 'Day', 'elderly', 'danda', 'fall']"
秋の扇,jp,,"['autumn', 'fan']"
秋の鹿は笛に寄る,jp,,"['autumn', 'whistle']"
秋の日と娘の子はくれぬようでくれる,jp,,"['autumn', 'Day', 'Daughter', 'Child']"
秋の日は釣瓶落とし,jp,,"['autumn', 'Day', 'fishing bottle', 'drop']"
秋葉山から火事,jp,,"['Mountain', 'fire']"
秋日和半作,jp,,"['autumn day', 'Japanese and half', 'work']"
空き家で声嗄らす,jp,,"['House', 'voice']"
空き家の雪隠,jp,,"['openings', 'House']"
諦めは心の養生,jp,,"['give up', 'heart', 'curing']"
呆れが礼に来る,jp,,"['be amazed', 'gratitude']"
アキレス腱,jp,,"['Achilles', 'tendon']"
呆れて物が言えない,jp,,['object']
商人と屏風は直ぐには立たぬ,jp,,"['merchant', 'folding screen']"
商人と屏風は曲がらねば立たぬ,jp,,"['merchant', 'folding screen']"
商人に系図なし,jp,,"['merchant', 'genealogy']"
商人の嘘は神もお許し,jp,,"['merchant', 'Lie', 'God', 'oh', 'forgive']"
商人の子は算盤の音で目を覚ます,jp,,"['merchant', 'Child', 'abacus', 'sound', 'eye']"
商人の空値,jp,,"['merchant', 'empty value']"
商人の元値,jp,,"['merchant', 'Yuan', 'value']"
商人は損していつか倉が建つ,jp,,"['merchant', 'storehouse']"
悪縁契り深し,jp,,"['bad luck', 'promise']"
灰汁が強い,jp,,['Lye']
灰汁が抜ける,jp,,['Lye']
悪妻は百年の不作,jp,,"['bad wife', 'Year', 'bad harvest']"
悪妻は六十年の不作,jp,,"['bad wife', 'Year', 'bad harvest']"
悪事、千里を走る,jp,,['bad deed']
悪事、身にかえる,jp,,"['bad deed', 'Body']"
悪獣もなおその類を思う,jp,,"['evil beast', 'kind']"
悪女の深情け,jp,,"['evil woman', 'deep affection']"
悪女は鏡を疎む,jp,,"['evil woman', 'mirror']"
アクセントを置く,jp,,['accent']
悪銭身に付かず,jp,,"['evil', 'money']"
悪態をつく,jp,,['swearing']
悪態を突く,jp,,['swearing']
悪に強きは善にも強し,jp,,"['evil', 'good', 'strong']"
悪人あればこそ善人も顕る,jp,,"['villain', 'good person']"
悪の裏は善,jp,,"['evil', 'back', 'good']"
悪の温床,jp,,"['evil', 'hotbed']"
悪の報いは針の先,jp,,"['evil', 'reward', 'Needle&#39;s', 'Destination']"
悪は一旦の事なり,jp,,"['evil', 'case', 'Nari']"
悪は延べよ,jp,,"['evil', 'total']"
欠伸を嚙み殺す,jp,,['yawn']
悪法もまた法なり,jp,,"['bad law', 'law']"
胡坐をかく,jp,,['sitting cross-legged']
胡座をかく,jp,,['sitting cross-legged']
開けて悔しき玉手箱,jp,,"['Tamate', 'box']"
明けても暮れても,jp,,[]
朱に染まる,jp,,['Vermillion']
朱を奪う紫,jp,,"['vermillion', 'purple']"
揚げ足を取る,jp,,"['fry', 'leg']"
挙げ足を取る,jp,,['leg']
挙げ句の果て,jp,,"['after all', 'end']"
挙句の果て,jp,,"['Finally', 'end']"
上げ潮に乗る,jp,,['rising tide']
上げ膳据え膳,jp,,"['meal', 'place', 'meal']"
上げ膳に据え膳,jp,,"['Raised meal', 'meal']"
上げたり下げたり,jp,,[]
阿漕が浦に引く網,jp,,"['Ura', 'network']"
顎から先に生まれる,jp,,"['jaw', 'Destination']"
顎が落ちそう,jp,,['jaw']
顎が落ちる,jp,,['jaw']
顎が外れる,jp,,['jaw']
顎が干上がる,jp,,"['jaw', 'dried up']"
顎で使う,jp,,['jaw']
顎で蠅を追う,jp,,"['jaw', 'fly']"
顎振り三年,jp,,"['jaw swing', 'Year']"
顎をしゃくる,jp,,['jaw']
顎を出す,jp,,['jaw']
顎を撫でる,jp,,['jaw']
朝雨馬に鞍置け,jp,,"['morning rain', 'Horse']"
朝雨と女の腕捲り,jp,,"['morning rain', 'woman', 'arm', 'Maki']"
朝雨に傘いらず,jp,,"['morning rain', 'and others']"
朝雨に傘要らず,jp,,"['morning rain', 'and others']"
浅い川も深く渡れ,jp,,['river']
朝起き千両,jp,,"['waking up in the morning', 'Both']"
朝起き千両、夜起き百両,jp,,"['waking up in the morning', 'Both', 'Night', 'waking up', 'Both']"
朝起きは三文の徳,jp,,"['getting up in the morning', 'three sentences', 'Virtue']"
朝起きは七つの徳,jp,,"['getting up in the morning', 'one', 'Virtue']"
朝顔の花一時,jp,,"['morning glory', 'Time']"
朝駆けの駄賃,jp,,['carriage']
麻殻に目鼻をつけたよう,jp,,['eyes and nose']
朝酒は門田を売っても飲め,jp,,[]
浅瀬に徒波,jp,,"['Shallow water', 'non-adult', 'wave']"
浅瀬に仇波,jp,,"['Shallow water', 'enemy', 'wave']"
朝題目に夕念仏,jp,,"['morning title', 'eye', 'twilight', 'Buddha']"
朝題目に宵念仏,jp,,"['morning title', 'eye', 'twilight', 'Buddha']"
朝茶は七里帰っても飲め,jp,,['morning tea']
明後日の方,jp,,"['Day', 'direction']"
朝虹は雨夕虹は晴れ,jp,,"['morning rainbow', 'rain', 'evening rainbow', 'sunny']"
麻につるる蓬,jp,,"['hemp', 'Yomogi']"
朝寝八石の損,jp,,"['sleeping in the morning', 'loss']"
朝寝坊の宵っ張り,jp,,"['sleeping in the morning', 'boy']"
朝の果物は金,jp,,"['Morning', 'fruit', 'Money']"
朝の来ない夜はない,jp,,"['Morning', 'Night']"
麻の中の蓬,jp,,"['hemp', 'During ~', 'Yomogi']"
朝の一時は晩の二時に当たる,jp,,"['Morning', 'temporary', 'night', 'Time']"
朝のぴっかり姑の笑い,jp,,"['Morning', 'exactly', 'mother-in-law', 'laughter']"
朝日が西から出る,jp,,"['Asahi', 'West']"
朝飯前,jp,,"['breakfast', 'Previous']"
朝飯前のお茶漬け,jp,,"['breakfast', 'Previous', 'oh', 'tea', 'Pickled']"
薊の花も一盛り,jp,,"['of the bush', 'flower', 'one serving']"
海驢の番,jp,,"['sea lion', 'number']"
足がある,jp,,['leg']
足が重い,jp,,['leg']
足が地に着かない,jp,,"['leg', 'ground']"
足が地に付かない,jp,,"['leg', 'ground']"
足が付く,jp,,['leg']
足が出る,jp,,['leg']
足が遠のく,jp,,['leg']
足が早い,jp,,['leg']
足が速い,jp,,['leg']
足が棒になる,jp,,"['leg', 'rod']"
足が向く,jp,,['leg']
足蹴にする,jp,,['kick']
朝に紅顔ありて夕べに白骨となる,jp,,"['Morning', 'evening', 'Skeleton']"
