idiom,lang,meaning
死して後、已む,jp,
死屍に鞭打つ,jp,
獅子の子落とし,jp,
獅子の歯嚙み,jp,
獅子の分け前,jp,
獅子は兎を撃つに全力を用う,jp,
死者に鞭打つ,jp,
私淑,jp,
支証の出し遅れ,jp,
師匠のはな負け,jp,
四十肩に五十腕,jp,
四十がったり,jp,
四十くらがり,jp,
四十過ぎての道楽と七つ下がって降る雨は止みそうで止まぬ,jp,
四十にして惑わず,jp,
紙上を賑わす,jp,
沈む瀬あれば浮かぶ瀬あり,jp,
死生、命あり,jp,
市井の徒,jp,
姿勢を正す,jp,
咫尺を弁せず,jp,
死せる孔明、生ける仲達を走らす,jp,
視線を浴びる,jp,
死線をさまよう,jp,
自然に帰れ,jp,
士族の商法,jp,
舌が肥える,jp,
舌が回る,jp,
舌三寸に胸三寸,jp,
親しき仲に垣をせよ,jp,
親しき仲にも礼儀あり,jp,
下地は好きなり御意はよし,jp,
滴り積もりて淵となる,jp,
舌鼓を打つ,jp,
舌鼓を打つ,jp,
下手に出る,jp,
下にも置かない,jp,
舌の剣は命を絶つ,jp,
舌の根も乾かぬうち,jp,
下腹に毛がない,jp,
舌は禍の根,jp,
舌を出す,jp,
舌を鳴らす,jp,
舌を巻く,jp,
四大空に帰す,jp,
四知,jp,
七細工八貧乏,jp,
七尺去って師の影を踏まず,jp,
七十五日は金の手洗い,jp,
七度探して人を疑え,jp,
死地に赴く,jp,
七年の病に三年の艾を求む,jp,
七歩の才,jp,
死中に活を求める,jp,
失笑を買う,jp,
失態を演じる,jp,
知ったか振りの恥搔き,jp,
知ったが病,jp,
しっちゃかめっちゃか,jp,
知って知らざれ,jp,
知って問うは礼なり,jp,
失敗は成功のもと,jp,
疾風に勁草を知る,jp,
尻尾を出す,jp,
尻尾を摑む,jp,
尻尾を振る,jp,
尻尾を巻く,jp,
しつこい坊主に檀那がない,jp,
舐犢の愛,jp,
死なぬ子三人、皆孝行,jp,
死なば諸共,jp,
科を作る,jp,
至難の業,jp,
死に馬に鍼刺す,jp,
死に金を使う,jp,
死にたいと麦飯食いたいほど大きな嘘はない,jp,
梓に上す,jp,
死に花を咲かせる,jp,
死に水を取る,jp,
死に別れより生き別れ,jp,
死人に口なし,jp,
死ぬ死ぬと言う者に死んだ例なし,jp,
死ぬ者貧乏,jp,
死ぬる子は眉目よし,jp,
死ぬるばかりは真,jp,
死ねば死に損、生くれば生き得,jp,
鎬を削る,jp,
駟の隙を過ぐるが若し,jp,
四の五の言う,jp,
死の商人,jp,
篠を突く,jp,
死は或は泰山より重く、或は鴻毛より軽し,jp,
士は己を知る者の為に死す,jp,
芝居は一日の早学問,jp,
芝居は無筆の早学問,jp,
芝居を打つ,jp,
死馬の骨を買う,jp,
駟馬も追う能ず,jp,
四百四病の外,jp,
四百四病より貧の苦しみ,jp,
痺れを切らす,jp,
雌伏,jp,
私腹を肥やす,jp,
渋皮が剝ける,jp,
渋柿の長持ち,jp,
始末に負えない,jp,
始末を付ける,jp,
死命を制する,jp,
しめこの兎,jp,
示しが付かない,jp,
下いびりの上へつらい,jp,
駟も舌に及ばず,jp,
霜を置く,jp,
霜を履んで堅氷至る,jp,
社会の木鐸,jp,
釈迦に宗旨なし,jp,
釈迦に説法,jp,
釈迦に説法孔子に悟道,jp,
杓子で腹を切る,jp,
杓子は耳搔きにならず,jp,
癪に障る,jp,
癪の種,jp,
尺も短き所あり、寸も長き所あり,jp,
尺を枉げて尋を直くす,jp,
奢侈に流れる,jp,
社稷の臣,jp,
車軸を流す,jp,
尺蠖の屈するは伸びんがため,jp,
シャッポを脱ぐ,jp,
射程距離に入る,jp,
娑婆っ気が多い,jp,
娑婆で見た弥三郎,jp,
娑婆で見た弥十郎,jp,
娑婆で見た弥次郎,jp,
沙弥から長老,jp,
沙弥から長老にはなれぬ,jp,
三味線を弾く,jp,
視野が広い,jp,
衆寡敵せず,jp,
習慣は第二の天性なり,jp,
衆口、金を鑠かす,jp,
秋毫,jp,
宗旨の争い釈迦の恥,jp,
終止符を打つ,jp,
宗旨を変える,jp,
修身斉家治国平天下,jp,
醜態を演じる,jp,
衆知を集める,jp,
舅の物で相婿もてなす,jp,
姑に似た嫁,jp,
姑の十七、見た者ない,jp,
秋波を送る,jp,
愁眉を開く,jp,
衆望を担う,jp,
衆目の一致する所,jp,
衆を頼む,jp,
珠玉の瓦礫に在るが如し,jp,
菽水の歓,jp,
祝杯を上げる,jp,
菽麦を弁せず,jp,
祝融の災い,jp,
趣向を凝らす,jp,
守株,jp,
主従は三世,jp,
手足となる,jp,
手足を措く所なし,jp,
手段を選ばない,jp,
手中に収める,jp,
出家の念仏嫌い,jp,
出藍の誉れ,jp,
手套を脱す,jp,
朱に交われば赤くなる,jp,
朱筆を入れる,jp,
手腕を振るう,jp,
朱を入れる,jp,
朱を注ぐ,jp,
春宵一刻値千金,jp,
春秋高し,jp,
春秋に富む,jp,
春秋の筆法,jp,
春眠、暁を覚えず,jp,
舜も人なり吾もまた人なり,jp,
雌雄を決する,jp,
背負い投げを食う,jp,
小異を捨てて大同につく,jp,
小寒の氷大寒に解く,jp,
性が合う,jp,
将棋倒し,jp,
猖獗を極める,jp,
しょう事なしに米の飯,jp,
性懲りもなく,jp,
尚歯,jp,
従心,jp,
正直の頭に神宿る,jp,
正直は阿呆の異名,jp,
正直は一生の宝,jp,
正直は最善の策,jp,
正直貧乏、横着栄耀,jp,
正直者が馬鹿を見る,jp,
障子に目,jp,
小事は大事,jp,
生者必滅、会者定離,jp,
掌上に運らす,jp,
小人閑居して不善をなす,jp,
小人罪なし璧を懐いて罪あり,jp,
小人の過つや必ず文る,jp,
小人の勇,jp,
少壮幾時ぞ,jp,
消息を絶つ,jp,
掌中に収める,jp,
掌中の珠,jp,
焦点を合わせる,jp,
焦点を絞る,jp,
性に合う,jp,
衝に当たる,jp,
性に合わない,jp,
性根を据えて掛かる,jp,
少年老い易く学成り難し,jp,
少年よ、大志を抱け,jp,
小の虫を殺して大の虫を助ける,jp,
賞は厚くし罰は薄くすべし,jp,
松柏の操,jp,
商売往来にない商売,jp,
商売は草の種,jp,
商売は道によって賢し,jp,
焦眉の急,jp,
正札付き,jp,
勝負は時の運,jp,
正法に奇特無し,jp,
しょうもない,jp,
証文が物を言う,jp,
証文の出し遅れ,jp,
醬油で煮しめたよう,jp,
将を射んとせば先ず馬を射よ,jp,
将を射んと欲すれば先ず馬を射よ,jp,
小を捨てて大に就く,jp,
升を以て石を量る,jp,
食が進む,jp,
食が細い,jp,
食牛の気,jp,
食言,jp,
食後の一睡、万病円,jp,
食後の一睡、万病丹,jp,
食指が動く,jp,
触手を伸ばす,jp,
食膳に供する,jp,
食膳に上る,jp,
職人貧乏人宝,jp,
食を願わば器物,jp,
曙光を見出す,jp,
諸式が上がる,jp,
初心に返る,jp,
初心忘るべからず,jp,
所帯を畳む,jp,
所帯を持つ,jp,
蜀犬、日に吠ゆ,jp,
背負って立つ,jp,
初日が出る,jp,
緒に就く,jp,
枝葉に走る,jp,
白髪は冥土の使い,jp,
知らざるを知らずと為せ、是れしるなり,jp,
知らずば半分値,jp,
知らずば人に問え,jp,
知らずば人真似,jp,
白豆腐の拍子木,jp,
白波,jp,
知らぬ顔の半兵衛,jp,
知らぬ神より馴染みの鬼,jp,
知らぬが仏,jp,
知らぬ京物語,jp,
知らぬ存ぜぬ,jp,
知らぬは亭主ばかりなり,jp,
知らぬ仏より馴染みの鬼,jp,
白羽の矢が立つ,jp,
調べがつく,jp,
芝蘭の室に入るが如し,jp,
後足を踏む,jp,
尻馬に乗る,jp,
尻押しをする,jp,
尻から抜ける,jp,
尻が青い,jp,
尻が暖まる,jp,
尻が重い,jp,
尻が軽い,jp,
尻が来る,jp,
尻が長い,jp,
尻が割れる,jp,
尻毛を抜く,jp,
知りて知らざれ,jp,
尻拭いをする,jp,
尻の穴が小さい,jp,
尻の毛まで抜かれる,jp,
尻の持って行き場がない,jp,
尻目に掛ける,jp,
後目に掛ける,jp,
尻餅をつく,jp,
尻も結ばぬ糸,jp,
尻を上げる,jp,
尻を押す,jp,
尻を落ち着ける,jp,
尻を絡げる,jp,
尻を据える,jp,
尻を叩く,jp,
尻を拭う,jp,
尻をはしょる,jp,
尻を捲る,jp,
尻を持ち込む,jp,
知る人ぞ知る,jp,
知る者は言わず言う者は知らず,jp,
知る由もない,jp,
汁を吸うても同罪,jp,
白い歯を見せる,jp,
白旗を掲げる,jp,
白星を拾う,jp,
師走女房難つけな,jp,
吝ん坊と灰吹きは溜まるほど汚い,jp,
吝ん坊の柿の種,jp,
詩を作るより田を作れ,jp,
死を視ること帰するが如し,jp,
心肝に徹する,jp,
心肝を砕く,jp,
心肝を寒からしめる,jp,
新規蒔き直し,jp,
心気を燃やす,jp,
神経が高ぶる,jp,
神経が太い,jp,
神経に触る,jp,
神経を使う,jp,
心血を注ぐ,jp,
辛酸を嘗める,jp,
親炙,jp,
身首処を異にす,jp,
身首所を異にす,jp,
心証を害する,jp,
身上を潰す,jp,
寝食を忘れる,jp,
心中より饅頭,jp,
信心過ぎて極楽を通り越す,jp,
信心は徳の余り,jp,
信心も欲から,jp,
薪水の労,jp,
親戚の泣き寄り,jp,
深窓に育つ,jp,
心臓が強い,jp,
心臓に毛が生えている,jp,
進退これ谷る,jp,
身体髪膚、これを父母に受く,jp,
心胆を寒からしめる,jp,
死んだ子の年を数える,jp,
死んだ子は賢い,jp,
死んだら褒められる,jp,
死んでの長者より生きての貧乏,jp,
死んで花実が咲くものか,jp,
心頭滅却すれば火もまた涼し,jp,
神に入る,jp,
真に迫る,jp,
之繞を掛ける,jp,
真の闇より無闇が怖い,jp,
信は荘厳より起こる,jp,
親は泣き寄り、他人は食い寄り,jp,
神仏は見通し,jp,
心腹に落つ,jp,
心腹の友,jp,
心腹の病,jp,
辛抱する木に金がなる,jp,
親身になる,jp,
信を置く,jp,
信を問う,jp,
シーザーの物はシーザーに,jp,
水火の争い,jp,
西瓜は土で作れ南瓜は手で作れ,jp,
水火も辞せず,jp,
水火を踏む,jp,
粋が川へはまる,jp,
粋が身を食う,jp,
水魚の交わり,jp,
推敲,jp,
彗星の如く,jp,
垂涎の的,jp,
好いた事はせぬが損,jp,
好いた水仙好かれた柳,jp,
好いた同士は泣いても連れる,jp,
好いたほど飽いた,jp,
水中に火を求む,jp,
水道の水で産湯を使う,jp,
推輓,jp,
水泡に帰す,jp,
水泡に帰する,jp,
酸いも甘いも噛み分ける,jp,
粋を利かす,jp,
数奇,jp,
数を頼む,jp,
末四十より今の三十,jp,
末始終より今の三十,jp,
据え膳食わぬは男の恥,jp,
末大なれば必ず折る,jp,
末の露、本の雫,jp,
好かぬは得せぬの唐名,jp,
すかを食う,jp,
素顔を見せる,jp,
姿は俗性を現す,jp,
姿は作り物,jp,
好きこそ物の上手なれ,jp,
好きな事には騙され易い,jp,
好きな物に祟りなし,jp,
空き腹にまずい物なし,jp,
透き間風は冷たい,jp,
過ぎたるは猶及ばざるが如し,jp,
勝れて良き物は勝れて悪し,jp,
凄みを利かせる,jp,
筋がいい,jp,
筋が立つ,jp,
筋が違う,jp,
筋金入り,jp,
筋を通す,jp,
進むを知りて退くを知らず,jp,
涼しい顔,jp,
雀、海に入って蛤となる,jp,
雀の千声鶴の一声,jp,
雀の涙,jp,
雀の糠喜び,jp,
雀百まで踊り忘れず,jp,
鈴を転がすよう,jp,
鈴を転がすような,jp,
鈴を張ったよう,jp,
スタートを切る,jp,
擦った揉んだ,jp,
酸っぱい葡萄,jp,
捨て石になる,jp,
捨て子は世に出る,jp,
捨てたものではない,jp,
捨て物は拾い物,jp,
捨てる神あれば拾う神あり,jp,
酢でも蒟蒻でも,jp,
砂を嚙むよう,jp,
脛一本、腕一本,jp,
脛に疵持つ,jp,
脛に疵持てば笹原走る,jp,
酢の蒟蒻の,jp,
滑ったの転んだの,jp,
すべての道はローマに通ず,jp,
滑り道とお経は早い方がよい,jp,
スポットライトを浴びる,jp,
スポットを当てる,jp,
すまじきものは宮仕え,jp,
隅から隅まで,jp,
角水を突く,jp,
墨と雪,jp,
隅に置けない,jp,
墨は餓鬼に磨らせ筆は鬼にとらせよ,jp,
住むばかりの名所,jp,
住めば都,jp,
相撲に勝って勝負に負ける,jp,
相撲にならない,jp,
相撲に負けて妻の面張る,jp,
擂り粉木で芋を盛る,jp,
擂り粉木で重箱洗う,jp,
擂り粉木で腹を切る,jp,
擂り粉木棒の年寄り,jp,
駿河の富士と一里塚,jp,
する事なす事,jp,
酢を買う,jp,
寸陰を惜しむ,jp,
寸暇を惜しむ,jp,
寸鉄、人を刺す,jp,
寸分違わず,jp,
寸を曲げて尺を伸ぶ,jp,
性相近し、習い相遠し,jp,
生ある者は必ず死あり,jp,
青雲の志,jp,
臍下丹田に力を入れる,jp,
青眼,jp,
成蹊,jp,
正鵠を射る,jp,
精魂を傾ける,jp,
精彩を放つ,jp,
青史,jp,
西施の顰みに倣う,jp,
西施の顰に倣う,jp,
精神一到、何事か成らざらん,jp,
聖人に夢なし,jp,
清水に魚棲まず,jp,
清濁併せ呑む,jp,
掣肘,jp,
井底の蛙,jp,
急いては事を仕損じる,jp,
青天の霹靂,jp,
盛年重ねて来らず,jp,
生は難く、死は易し,jp,
生は寄なり死は帰なり,jp,
生は死の始め,jp,
生命ある所希望あり,jp,
声涙、倶に下る,jp,
精を出す,jp,
生を偸む,jp,
背負い投げを食う,jp,
世界半分自惚れしっかり,jp,
せかせか貧乏、ゆっくり長者,jp,
急かねば事が間に合わぬ,jp,
積悪の家には必ず余殃あり,jp,
積悪の余殃,jp,
席暖まるに暇あらず,jp,
関ヶ原,jp,
赤縄を結ぶ,jp,
積善の家には必ず余慶あり,jp,
関の山,jp,
赤貧洗うが如し,jp,
赤面の至り,jp,
席を改める,jp,
席を外す,jp,
急く事はゆるりとせよ,jp,
世間がうるさい,jp,
世間が狭い,jp,
世間が広い,jp,
世間知らずの高枕,jp,
世間の口に戸は立てられぬ,jp,
世間は張り物,jp,
世間は広いようで狭い,jp,
世間を騒がせる,jp,
世間を狭くする,jp,
世故に長ける,jp,
世事に疎い,jp,
世上物騒我が身息災,jp,
背筋が寒くなる,jp,
切匙で腹を切る,jp,
尺蠖の屈するは伸びんがため,jp,
折檻,jp,
節季の風邪は買っても引け,jp,
席巻,jp,
節制は最良の薬なり,jp,
雪駄の裏に灸,jp,
雪駄の土用干し,jp,
雪隠詰め,jp,
雪隠で饅頭,jp,
切羽詰まる,jp,
雪上に霜を加う,jp,
節を折る,jp,
節を曲げる,jp,
背中を向ける,jp,
背にする,jp,
背に腹は替えられぬ,jp,
狭き門,jp,
狭き門より入れ,jp,
責めを負う,jp,
背より腹,jp,
世話がない,jp,
世話が焼ける,jp,
世話になる,jp,
世話を焼かす,jp,
世話を焼かせる,jp,
世話を焼く,jp,
瀬を踏んで淵を知る,jp,
背を向ける,jp,
先覚者,jp,
線が太い,jp,
線が細い,jp,
千貫のかたに編笠一蓋,jp,
千貫のかたに編笠一蓋,jp,
千鈞の重み,jp,
千金の裘は一狐の腋に非ず,jp,
千金の子は市に死せず,jp,
千金を買う市あれど一文字を買う店なし,jp,
千軒あれば共過ぎ,jp,
千石取れば万石羨む,jp,
千石万石も米五合,jp,
千秋楽,jp,
千緒万端、遺漏あることなし,jp,
千畳敷に寝ても畳一枚,jp,
千丈の堤も螻蟻の穴を以て潰いゆ,jp,
先陣を争う,jp,
先生と言われるほどの馬鹿でなし,jp,
先祖に討ち死にさせて高枕,jp,
栴檀は双葉より芳し,jp,
先手は万手,jp,
先手を打つ,jp,
先頭を切る,jp,
船頭多くして、船、山へ登る,jp,
船頭のそら急ぎ,jp,
千日の萱を一日,jp,
千日の萱を一日に焼く,jp,
千日の旱魃に一日の洪水,jp,
千に一つ,jp,
先入、主となる,jp,
仙人の千年、蜉蝣の一時,jp,
千人の諾諾は一士の諤諤に如かず,jp,
千の蔵より子は宝,jp,
先鞭を着ける,jp,
千万人と雖も吾往かん,jp,
千三つ,jp,
千里眼,jp,
千里の馬は常にあれども伯楽は常にはあらず,jp,
千里の馬も蹴躓く,jp,
千里の馬も伯楽に会わず,jp,
千里の行も足下より始まる,jp,
千里の堤も蟻の穴から,jp,
千里の野に虎を放つ,jp,
千里の道も一歩から,jp,
千里一跳ね,jp,
千慮の一失,jp,
千慮の一得,jp,
洗礼を受ける,jp,
線を引く,jp,
創痍未だ癒えず,jp,
創痍未だ瘳えず,jp,
滄海の一粟,jp,
滄海変じて桑田となる,jp,
喪家の狗,jp,
創業は易く守成は難し,jp,
総毛立つ,jp,
双肩に担う,jp,
操觚,jp,
糟糠の妻,jp,
糟糠の妻は堂より下さず,jp,
相好を崩す,jp,
桑梓,jp,
曽参、人を殺す,jp,
宋襄の仁,jp,
騒人,jp,
総好かんを食う,jp,
滄桑の変,jp,
想像を絶する,jp,
相談に乗る,jp,
桑田変じて滄海となる,jp,
総嘗めにする,jp,
糟粕を嘗める,jp,
そうは問屋が卸さない,jp,
相場が決まっている,jp,
双璧,jp,
草莽の臣,jp,
総領の十五は貧乏の世盛り,jp,
総領の甚六,jp,
倉廩実ちて礼節を知る,jp,
葬礼帰りの医者話,jp,
葬礼九つ酒七つ,jp,
惻隠の情,jp,
束脩,jp,
即時一杯の酒,jp,
底が浅い,jp,
底が知れない,jp,
底が割れる,jp,
底に底あり,jp,
そこへ行くと,jp,
底もあり蓋もあり,jp,
底を突く,jp,
底を割る,jp,
そ知らぬ顔,jp,
謗れば影さす,jp,
俎上に載せる,jp,
俎上の魚,jp,
俎上の魚江海に移る,jp,
粗相が御意に叶う,jp,
粗相も時の一興,jp,
率土の浜,jp,
そっと申せばぎゃっと申す,jp,
そっぽを向く,jp,
卒寿,jp,
袖から火事,jp,
袖から手を出すも嫌い,jp,
袖すり合うも他生の縁,jp,
袖にする,jp,
袖の下,jp,
袖の下に回る子は打たれぬ,jp,
袖振り合うも他生の縁,jp,
袖を絞る,jp,
袖を連ねる,jp,
袖を通す,jp,
袖を引く,jp,
袖を分かつ,jp,
外愛嬌の内そんぶり,jp,
外面がいい,jp,
外濠を埋める,jp,
外孫飼うより犬の子飼え,jp,
備えあれば憂いなし,jp,
備わらんことを一人に求むるなかれ,jp,
その一を識りてその二を知らず,jp,
その国に入ればその俗に従う,jp,
その子を知らざればその友を視よ,jp,
その罪を憎んでその人を憎まず,jp,
その手は食わない,jp,
その手は桑名の焼き蛤,jp,
その右に出ずる者なし,jp,
傍杖を食う,jp,
蕎麦の花も一盛り,jp,
素封,jp,
そもそもから着きにけりまで,jp,
空に三つ廊下,jp,
空吹く風と聞き流す,jp,
空を使う,jp,
反りが合わない,jp,
それ来た,jp,
それにつけても金の欲しさよ,jp,
それはそれは,jp,
それ見たことか,jp,
揃いも揃って,jp,
算盤が合う,jp,
算盤高い,jp,
添わぬうちが花,jp,
損して得取れ,jp,
損して恥搔く,jp,
損せぬ人に儲けなし,jp,
忖度,jp,
損と元値で蔵を建て,jp,
存養,jp,
たあいがない,jp,
田歩くも畔歩くも同じ,jp,
大隠は市に隠る,jp,
大恩は報せず,jp,
大海の一滴,jp,
大海は芥を択ばず,jp,
大海は塵を択ばず,jp,
大海を手で塞ぐ,jp,
大廈の倒れんとするは一木の支うる所に非ず,jp,
大家後なし,jp,
大旱の雲霓を望む,jp,
大姦は忠に似たり,jp,
大概にする,jp,
対岸の火事,jp,
大義、親を滅す,jp,
大疑は大悟の基,jp,
大魚は小池に棲まず,jp,
大魚を逸す,jp,
大魚を逸する,jp,
大軍に関所なし,jp,
大賢は愚なるが如し,jp,
大行は細謹を顧みず,jp,
大功は拙なるが如し,jp,
太公望,jp,
大功を成す者は衆に謀らず,jp,
大功を論ずる者は小過を録せず,jp,
太鼓判を押す,jp,
太鼓判を捺す,jp,
太鼓も撥の当たりよう,jp,
太鼓を叩く,jp,
太鼓を持つ,jp,
泰山は土壌を譲らず,jp,
泰山北斗のごとし,jp,
大山鳴動して鼠一匹,jp,
太山を挟んで北海を超ゆ,jp,
大人は大耳,jp,
大声は里耳に入らず,jp,
大智は愚の如し,jp,
大敵と見て恐れず小敵と見て侮らず,jp,
泰斗,jp,
態度が大きい,jp,
鯛なくば狗母魚,jp,
鯛の尾より鰯の頭,jp,
台風の目,jp,
太平楽,jp,
大木は風に折らる,jp,
鯛も一人では旨からず,jp,
太陽の照っているうちに干し草を作れ,jp,
大欲は無欲に似たり,jp,
大利は利ならず,jp,
大漁の明日,jp,
体を交わす,jp,
体を躱す,jp,
体を成す,jp,
体を引く,jp,
タオルを投げる,jp,
斃れて後、已む,jp,
高い舟借りて安い小魚釣る,jp,
高が知れる,jp,
高きに登るには低きよりす,jp,
高く買う,jp,
高くつく,jp,
高く止まる,jp,
高嶺の花,jp,
鷹の前の雀,jp,
鷹は飢えても穂を摘まず,jp,
高飛車,jp,
高飛車に出る,jp,
高みに土盛る,jp,
高みの見物,jp,
田から行くも畦から行くも同じ事,jp,
宝の持ち腐れ,jp,
宝の山に入りながら手を空しくして帰る,jp,
宝は身の仇,jp,
高を括る,jp,
箍が外れる,jp,
箍が緩む,jp,
箍を締める,jp,
箍を外す,jp,
薪に花,jp,
薪を抱きて火を救う,jp,
たくらだ猫の隣歩き,jp,
竹と人の心の直ぐなのは少ない,jp,
竹に油を塗る,jp,
竹に雀,jp,
竹の子生活,jp,
竹の子の親勝り,jp,
筍の親勝り,jp,
竹屋の火事,jp,
竹を割ったよう,jp,
多芸は無芸,jp,
蛸の糞で頭へあがる,jp,
蛸の共食い,jp,
蛸は身を食う,jp,
他山の石,jp,
足して二で割る,jp,
他事ながら,jp,
助け舟を出す,jp,
多勢に無勢,jp,
闘う雀、人を恐れず,jp,
叩かれた夜は寝やすい,jp,
叩けば埃が出る,jp,
叩けよ、さらば開かれん,jp,
多多益益弁ず,jp,
多々益々弁ず,jp,
畳の上で死ぬ,jp,
畳の上の怪我,jp,
畳の上の水練,jp,
踏鞴を踏む,jp,
蹈鞴を踏む,jp,
ただでは置かない,jp,
ただでは済まない,jp,
ただの鼠ではない,jp,
只より高い物はない,jp,
只より安い物はない,jp,
太刀打ちができない,jp,
太刀打ちできない,jp,
立ち往生する,jp,
立往生する,jp,
立場が無い,jp,
立ち仏が居仏を使う,jp,
立ち回りを演じる,jp,
立ち物は転び物,jp,
立ち寄らば大木の陰,jp,
立ち寄らば大樹の陰,jp,
タッチの差,jp,
立ってる者は親でも使え,jp,
尊い寺は門から知れる,jp,
田作る道は農に問え,jp,
達人は大観す,jp,
立つ瀬が無い,jp,
立つ鳥、跡を濁さず,jp,
立つより返事,jp,
田作りも魚のうち,jp,
手綱を締める,jp,
立て板に水,jp,
盾突く,jp,
楯突く,jp,
盾に取る,jp,
楯に取る,jp,
盾の半面,jp,
楯の半面,jp,
縦の物を横にもしない,jp,
盾の両面を見よ,jp,
立てば芍薬 座れば牡丹,jp,
立てば芍薬、座れば牡丹、歩く姿は百合の花,jp,
盾を突く,jp,
楯を突く,jp,
蓼食う虫も好き好き,jp,
蓼の虫は蓼で死ぬ,jp,
譬えに嘘なし坊主に毛なし,jp,
たとえ火の中水の中,jp,
多とする,jp,
炭団に目鼻,jp,
棚上げにする,jp,
棚卸しをする,jp,
棚から落ちた達磨,jp,
棚から牡丹餅,jp,
棚から牡丹餅は落ちてこない,jp,
掌の内,jp,
掌を合わす,jp,
掌を返す,jp,
掌を返すよう,jp,
掌を指す,jp,
棚に上げる,jp,
棚へ上げる,jp,
他人の疝気を頭痛に病む,jp,
他人の空似,jp,
他人の念仏で極楽参り,jp,
他人の正目,jp,
他人の飯には骨がある,jp,
他人の飯は白い,jp,
他人の飯を食う,jp,
他人の別れ棒の端,jp,
他人は食い寄り,jp,
他人は時の花,jp,
狸が人に化かされる,jp,
狸寝入り,jp,
狸の腹鼓,jp,
種が割れる,jp,
種を明かす,jp,
種を蒔く,jp,
種を宿す,jp,
田の事すれば畑が荒れる,jp,
楽しみ尽きて悲しみ来る,jp,
他の追随を許さない,jp,
頼みの綱,jp,
頼みの綱も切れ果てる,jp,
頼む木陰に雨が漏る,jp,
頼む木の下に雨漏る,jp,
頼むと頼まれては犬も木へ登る,jp,
頼めば越後から米搗きにも来る,jp,
束になって掛かる,jp,
旅路の命は路用の金,jp,
旅の犬が尾をすぼめる,jp,
旅の恥は搔き捨て,jp,
旅は憂いもの辛いもの,jp,
旅は道連れ、世は情け,jp,
他聞を憚る,jp,
環の端無きが如し,jp,
手纏の端無きが如し,jp,
卵に目鼻,jp,
卵の四角,jp,
卵の四角と女郎の誠,jp,
卵を盗む者は牛も盗む,jp,
卵を見て時夜を求む,jp,
卵を以て石に投ず,jp,
卵を割らないでオムレツは作れない,jp,
魂が抜ける,jp,
魂を入れ替える,jp,
魂を消す,jp,
魂を冷やす,jp,
玉と欺く,jp,
玉となって砕くとも瓦となって全からじ,jp,
玉なす,jp,
玉に瑕,jp,
たまに出る子は風に遭う,jp,
玉の汗,jp,
玉の輿に乗る,jp,
玉の杯、底なきが如し,jp,
玉磨かざれば器をなさず,jp,
玉磨かざれば光なし,jp,
堪るものか,jp,
璧を懐いて罪あり,jp,
玉を転がす,jp,
玉を転がすよう,jp,
玉を転がすような,jp,
玉を衒いて石を売る,jp,
民の口を防ぐは水を防ぐよりも甚だし,jp,
民の声は神の声,jp,
民は之に由らしむべし、之を知らしむべからず,jp,
溜め息をすれば親の寿命が縮む,jp,
矯めつ眇めつ,jp,
為にする,jp,
為になる,jp,
矯めるなら若木のうち,jp,
袂に縋る,jp,
袂を絞る,jp,
袂を連ねる,jp,
袂を分かつ,jp,
便りのないのはよい便り,jp,
誑しが誑しに誑される,jp,
鱈汁と雪道は後が良い,jp,
足らず余らず子三人,jp,
足る事を知る,jp,
足るを知る者は富む,jp,
誰か烏の雌雄を知らんや,jp,
たわいがない,jp,
俵を割る,jp,
田を行くも畦を行くも同じ,jp,
啖呵を切る,jp,
胆が据わる,jp,
短気は損気,jp,
短気は未練の初め,jp,
短気は未練の元,jp,
短気は身を亡ぼす腹切り刀,jp,
端倪すべからず,jp,
単糸、線を成さず,jp,
丹精を込める,jp,
丹誠を込める,jp,
丹精を凝らす,jp,
丹誠を凝らす,jp,
丹精を尽くす,jp,
丹誠を尽くす,jp,
旦夕に迫る,jp,
胆斗の如し,jp,
胆は大ならんことを欲し、心は小ならんことを欲す,jp,
短兵急,jp,
短を捨てて長を取る,jp,
胆を練る,jp,
端を発する,jp,
端を開く,jp,
ターゲットを絞る,jp,
小さく生んで大きく育てる,jp,
小さくとも針は呑まれぬ,jp,
小さくなる,jp,
地位は人を作る,jp,
知音,jp,
知恵多ければ憤り多し,jp,
知恵が回る,jp,
知恵と力は重荷にならぬ,jp,
知恵ない神に知恵付ける,jp,
知恵の鏡も曇る,jp,
知恵の持ち腐れ,jp,
知恵は小出しにせよ,jp,
知恵は万代の宝,jp,
知恵を借りる,jp,
知恵を絞る,jp,
知恵を付ける,jp,
近くて見えぬは睫,jp,
地下に眠る,jp,
地下に潜る,jp,
近火で手を焙る,jp,
近惚れの早飽き,jp,
近道は遠道,jp,
力及ばず,jp,
力瘤を入れる,jp,
力に余る,jp,
力にする,jp,
力になる,jp,
力は正義なり,jp,
力山を抜き、気は世を蓋う,jp,
地から湧いたよう,jp,
力を入れる,jp,
力を得る,jp,
力を落とす,jp,
力を貸す,jp,
力を付ける,jp,
血が通う,jp,
血が騒ぐ,jp,
血が滾る,jp,
血が繋がる,jp,
血が上る,jp,
血が引く,jp,
血が沸く,jp,
知己,jp,
地球は青かった,jp,
池魚の殃,jp,
契りを交わす,jp,
契りを結ぶ,jp,
畜生の浅ましさ,jp,
竹帛の功,jp,
竹馬の友,jp,
竹林の七賢,jp,
逐鹿,jp,
致仕,jp,
知識は力なり,jp,
