source,references,hypothesis,contains_idioms,trans_error,human_error,ambiguous,error_type
ダイエットは　相変わらず うまくいってるとは言えないが あなたの頚動脈が バスケットボールみたいに 飛び跳ね始めたところを見ると,And the fact that your carotid has started jumping up and down like a basketball makes me think that your stash is nearby.,"The diet is still not going well, but when you see your carotid artery start jumping like basketball",相変わらず,,,,
相変わらずだな。,You haven't changed at all.,As usual.,相変わらず,,,,
俺は相変わらずだ,"And here I am, beautiful as ever.",I&#39;m still,相変わらず,,,,
ベッドからたたき出して 悪かった 相変わらず口が悪いな,The Evans City Volunteer Fire Department apologizes for dragging you out of bed this way.,I knocked it out of bed and it was bad,"相変わらず,口が悪い",,,,
相変わらず鼻が利くな ミケ,Mike.,Mike is as snobby as ever,"相変わらず,鼻が利く",,,,
知らぬが仏 だ,Ignorance is bliss.,I don&#39;t know but it&#39;s a Buddha,知らぬが仏,,,,
知らぬが仏だよ,What they don't know won't hurt 'em.,I don&#39;t know but it&#39;s a Buddha,知らぬが仏,,,,
知らぬが仏って事もある,"Well, sometimes what we don't know doesn't hurt us, right?","I don&#39;t know, but sometimes Buddha",知らぬが仏,,,,
知らぬが仏,"- Ignorance is bliss, my friend.",I don&#39;t know but Buddha,知らぬが仏,,,,
一石二鳥だ,I got a twofer.,Two birds with one stone,"石二鳥,一石二鳥",,,,
まさに一石二鳥ね,"Yes, two birds with one stone",Exactly two birds with one stone,"石二鳥,一石二鳥",,,,
一石二鳥と 言う事で,"I've always wanted to visit Disneyland. Two birds with one stone, as they say.",By saying two birds with one stone,"石二鳥,一石二鳥",,,,
机を叩けば一石二鳥です,Tapping the table kills both birds with one stone.,"If you hit the desk, it ’s two birds with one stone.","石二鳥,一石二鳥",,,,
やっぱりでぎませんでしたってなれば 補習もサボれて一石二鳥だって,"""Get out of make-up class, too Kill two birds with one stone""","After all, if I couldn&#39;t finish it, I could skip the supplementary lessons and it would be two birds with one stone.","石二鳥,一石二鳥",,,,
一石二鳥ね,Two birds with one stone.,Two birds with one stone,"石二鳥,一石二鳥",,,,
で　思いついた 奴がまたそこに行けば・・・ 一石二鳥だ,Figured if I saw him go in there again... two birds with one stone.,If the guy who came up with it goes there again ... Two birds with one stone,"石二鳥,一石二鳥",,,,
一石二鳥です ジョン・J・レニスターに一票を,"It's a twofer. So vote for me, John J. Lannister.","Two birds with one stone, one vote for John J. Renister","石二鳥,一石二鳥",,,,
一石二鳥です！,It's a twofer!,Two birds with one stone!,"石二鳥,一石二鳥",,,,
- 一石二鳥って感じだな。,- It's like killing two birds with one stone.,――It feels like two birds with one stone.,"石二鳥,一石二鳥",,,,
一石二鳥だ,All in one fell swoop.,Two birds with one stone,"石二鳥,一石二鳥",,,,
一石二鳥です,You could accomplish two goals.,Two birds with one stone,"石二鳥,一石二鳥",,,,
中央化された大銀行から預金を引き出して、 地元の銀行や、信用組合に預ければ 問題への資金供給をやめて、解決策に資金を 供したことになるので、一石二鳥です。,"When we move our money out of the big centralised banks, and it's in locally owned banks and credit unions, we defund the problem and fund the solutions, all in one move.","Withdrawing deposits from a large centralized bank and depositing them in a local bank or credit union would stop funding the problem and fund the solution, so it&#39;s two birds with one stone.","石二鳥,一石二鳥",,,,
では 私達なら 一石二鳥を狙えそうよ,"Well, perhaps we can... kill two birds with one stone.",Then we can aim for two birds with one stone,"石二鳥,一石二鳥",,,,
一石二鳥を得られるならば 考えるに越したことはない...,I prefer to think of it as killing two birds with one stone...,It&#39;s best to think if you can get two birds with one stone ...,"石二鳥,一石二鳥",,,,
一石二鳥だ,Two birds with one stone.,Two birds with one stone,"石二鳥,一石二鳥",,,,
一石二鳥だ 君がここに来た理由が出来る,That solves two problems.,Two birds with one stone I can explain why you came here,"石二鳥,一石二鳥",,,,
ファラガット殺害の件は　迷宮入りだし 一石二鳥だ,"And the murder of Farragut goes back in the cold case file, so that's a nice twofer.",The case of Farragut&#39;s murder is entering the labyrinth and two birds with one stone.,"石二鳥,迷宮入り,一石二鳥",,,,
若い士官の中には... ...窓際族が嫌いな 者もいる,"Well, some younger officers aren't comfortable working near the margins.",Some young officers don&#39;t like the window tribe ...,窓際族,,,,
"""能ある鷹は爪を隠す""だ 覚えとけ",Hide your claws. Ain't good to show 'em first.,&quot;A talented hawk hides its claws&quot; Remember,能ある鷹は爪を隠す,,,,
なのに　彼は永久にいなくなってしまう 彼は　自業自得よ,Unh-unh. He deserved everything he got.,But he&#39;s gone forever He&#39;s self-employed,自業自得,,,,
お前の人生で最悪の夏休みになるかもしれない だが　それも自業自得だ,This may well be the worst summer of your entire life... but you've earned it.,"It may be the worst summer vacation in your life, but it&#39;s also your own business",自業自得,,,,
何も でも正直な話 旦那様は自業自得よ,"-I did not. Sorry if I shock you, but the plain fact is he only got what he deserved.",Honest story about anything Husband is self-employed,自業自得,,,,
自業自得だろ！,It's no more than you deserve!,You&#39;re self-employed!,自業自得,,,,
俺を自業自得と苦しませる お前の計画だな,What an awful thing to say to the boy. Of course it's Channing. Kev.,It&#39;s your plan to make me suffer from self-reliance,自業自得,,,,
自業自得かしら,I guess I deserved it.,I wonder if I&#39;m self-employed,自業自得,,,,
自業自得だ 合意する,Finally something we agree on.,I&#39;m self-employed I agree,自業自得,,,,
自業自得だ,You're getting exactly what you deserve.,Self-employed,自業自得,,,,
でも考えてみて それって自業自得よ,"But guess what, buddy... that is your fault.","But think about it, it&#39;s your own business",自業自得,,,,
自業自得だ どうやって眠っていたか知りたいか?,"Guy got what he deserved, and you wanna know how I've been sleeping?",Do you want to know how you slept?,自業自得,,,,
私のせいじゃない 自業自得だわ,"You got yourself into trouble, Liam, not me.","It ’s not my fault, it ’s my own business.",自業自得,,,,
自業自得だ,Probably had it coming.,Self-employed,自業自得,,,,
自業自得だ！,She deserved what she got.,It&#39;s your own business!,自業自得,,,,
自業自得だわ ドアを直しとけば、起きなかった,"And just think, this could have all been avoided if you'd fixed my gol-dang door.",I&#39;m self-employed I fixed the door and it didn&#39;t happen,自業自得,,,,
それに　彼の自業自得なんです,"Besides, y-- he's made his bed.",And it ’s his own business.,自業自得,,,,
自業自得だ ファルコーネにメッセージを,Don Falcone a message from me.,Send a message to Falcone,自業自得,,,,
自業自得だと？,So it's Viktor's fault he's dead?,Do you think you are self-employed?,自業自得,,,,
自業自得よ,Own that shit.,Self-employed,自業自得,,,,
自業自得よ,- because you want it to.,Self-employed,自業自得,,,,
彼らは皆 自業自得だよ,Every one of those people got... what they had coming to them.,They are all self-employed,自業自得,,,,
いいや 自業自得だ,"No, I earned what I got coming to me.","No, I&#39;m self-employed",自業自得,,,,
ウォルシュは 気の毒に見えるが 自業自得なんだ,"And I know it seems a bit rough on Walshy, but don't forget he made this rod for his own back.","Walsh looks sorry, but he&#39;s self-employed",自業自得,,,,
ベンは自業自得だ,He had it coming though. Yeah.,Ben is self-employed,自業自得,,,,
自業自得だろ,He deserves what's comin'.,It ’s your own business.,自業自得,,,,
殺人者なの 自業自得なのよ,Those were murderers. They got what they deserved.,I&#39;m a murderer,自業自得,,,,
自業自得だからな,- You left us no other choice.,Because I&#39;m self-employed,自業自得,,,,
男性 ７０代 自業自得だが つまらない口論で,"Male, 70s, self-inflicted shotgun in the brainpan, which is bad enough, but he had cats.",Male 70s Self-employed but boring quarrel,自業自得,,,,
彼女は自業自得だ 彼らすべてがそうだ,You know that she deserves. And they all do.,"She&#39;s self-employed, they&#39;re all",自業自得,,,,
いらついたって 自業自得よ,"I'm very sorry, Roberts. You got yourself into this thing.","I&#39;m irritated, I&#39;m self-employed",自業自得,,,,
おまえは自業自得かもしれないが 俺は違う,"You might deserve this, but I don't.","You may be self-employed, but I&#39;m not",自業自得,,,,
自業自得だぞ！,Especially the ones who are trying to kill you!,It&#39;s your own business!,自業自得,,,,
あいつの場合は自業自得だ,he brought it upon himself.,"In the case of him, he is self-employed",自業自得,,,,
タイタスは　自業自得だわ,Titus got what's coming to him.,Titus is self-employed,自業自得,,,,
自業自得というもんよ,"You taught me, you taught Sylvia!",It ’s called self-help.,自業自得,,,,
自業自得よ 訓練生を巻き込んでしまった,The OPR was right. I ran a trainee.,Self-employed self-help trainees have been involved,自業自得,,,,
君の自業自得だろ,You brought this on yourself.,Your own business,自業自得,,,,
自業自得なんだ,"I-I deserved it, okay?",I&#39;m self-employed,自業自得,,,,
自業自得でしょ,You reap what you sow.,"You ’re self-employed, right?",自業自得,,,,
- 自業自得だ,- Yeah. I didn't make you.,――It ’s your own business.,自業自得,,,,
自業自得さ,It's his fault.,Self-help,自業自得,,,,
- 自業自得だ,That's what I trouble myself with.,――It ’s your own business.,自業自得,,,,
自業自得よ元カレ殺すなんて！,You ruined your own life! Yeah. Killing your ex Elliot?,Do your own business and kill your ex-boyfriend!,自業自得,,,,
気にすんな 自業自得だった,It's all right. Maybe I had it coming.,"I didn&#39;t mind, I was self-employed",自業自得,,,,
原因はおまえにある 自業自得だ,"This is how this all began, me listening to you.",The cause is your own business,自業自得,,,,
自業自得だ,"Oh, I get it, I blew it.",Self-employed,自業自得,,,,
今頃 かなり怒ってるわ でも自業自得よ,"He's probably pretty pissed off at me right about now but, hell, he probably deserves it.","I&#39;m pretty angry nowadays, but I&#39;m self-employed",自業自得,,,,
自業自得だわ,/ don't know what everybody's upset about.,I&#39;m self-employed,自業自得,,,,
これはお前の自業自得だ,"It's on you, not me.",This is your own business,自業自得,,,,
バーでコーヒーを 注文したから自業自得だ,That's what you get for ordering coffee in a bar.,I ordered coffee at the bar so I&#39;m self-employed,自業自得,,,,
此奴は自業自得だったんだろう たぶんな,Maybe this guy deserved it. Maybe he did.,Maybe this guy was self-employed,自業自得,,,,
そうだ、あれは自業自得だけどな,"Yeah, but I had it coming.","Yeah, that&#39;s my own business",自業自得,,,,
自業自得か分からないが,I wonder if we brought this on ourselves.,I don&#39;t know if I&#39;m self-employed,自業自得,,,,
自業自得だ,They're going to get exactly what's coming to them.,Self-employed,自業自得,,,,
自業自得だ,I chose all of this.,Self-employed,自業自得,,,,
自業自得だったのかも,Some might say that he had it coming to him.,Maybe it was my own business,自業自得,,,,
すべて自業自得さ,I deserve whatever happens.,All self-sufficient,自業自得,,,,
自業自得だ,I deserved it.,Self-employed,自業自得,,,,
あれは俺の自業自得,Perhaps I had it coming.,That is my own business,自業自得,,,,
自業自得ね 国務省の近くに家を買ったから,Serves me right for buying two blocks from the State Department.,I bought a house near the State Department,自業自得,,,,
クリントは自業自得だ,Clint Dundee got what he deserved.,Clint is self-employed,自業自得,,,,
自業自得,You were.,what goes around comes around,自業自得,,,,
全く気にいらないなら 自業自得だ 昇給しないから,"So, you know, if you don't think it's nice enough, you only have yourself to blame for not giving me that raise.","If you don&#39;t like it at all, it&#39;s your own business.",自業自得,,,,
私は... 自業自得だ,I don't... deserve.,I&#39;m ... self-employed,自業自得,,,,
だからママの死は 自業自得よ,So it's the bitch's own fault she's dead.,That&#39;s why mom&#39;s death is self-made,自業自得,,,,
奴は自業自得さ,He's a liability.,He is self-employed,自業自得,,,,
自業自得よ,He made his bed.,Self-employed,自業自得,,,,
- 自業自得だよ,"Taste of his own medicine, right?",――It&#39;s your own business,自業自得,,,,
言いたくは無いが 自業自得だよ,"I hate to say it, but, karma's a bitch.","I don&#39;t want to say it, but I&#39;m self-employed",自業自得,,,,
嫌な奴なんだ 信頼しろ　自業自得だ,"The guy's a creep. Trust me, he deserves it.","I&#39;m a disgusting guy, trust me, I&#39;m self-employed",自業自得,,,,
私は自業自得だ,I deserved everything.,I am self-employed,自業自得,,,,
自業自得だ！,He deserves this!,It&#39;s your own business!,自業自得,,,,
自業自得だ,- You do that all by yourself.,Self-employed,自業自得,,,,
自業自得だってわかってる,It was my fault. I know that now.,I know I&#39;m self-employed,自業自得,,,,
奴らはクズだ 自業自得さ,They're scum. They deserve what's coming.,They&#39;re crap,自業自得,,,,
自業自得だ　フランク,"You know, you brought this on yourself, Frank.",Frank is self-employed,自業自得,,,,
自業自得だってわかってる,It was my fault. I know that now.,I know I&#39;m self-employed,自業自得,,,,
自業自得よ,Paid the ultimate price.,Self-employed,自業自得,,,,
自業自得だ,"That was his decision, not mine.",Self-employed,自業自得,,,,
自業自得だと追い詰めて 吐かせる気か？ 哀れだな,Your little plan to have me stew in my own delicious juices -- pathetic.,Do you feel like hunting down and vomiting if you are self-employed? I&#39;m pathetic,自業自得,,,,
自業自得だよ,The wall had it coming.,I&#39;m self-employed,自業自得,,,,
彼は　未亡人や孤児から金を盗んだ 社会病質者だ 自業自得だよ,"He was a sociopath that stole from widows and orphans, and he got what he deserved.",He&#39;s a social sick person who stole money from widow and orphans,自業自得,,,,
ジェーン 自業自得だ,"You roll over in that bed of yours, Jane,",Jane is self-employed,自業自得,,,,
自業自得,Karma.,what goes around comes around,自業自得,,,,
すべては自業自得,"Second of all, they had to go.",Everything is self-made,自業自得,,,,
密猟で入ったんだろ 自業自得だ,"And if he gets killed out here, runnin' around in the woods, poaching' bears, then he got what he deserved, didn't he?","You entered by poaching, you&#39;re self-employed",自業自得,,,,
ーうるさい ー自業自得だろ,Shut up. It's all your fault we're here.,-Noisy-You&#39;re self-employed,自業自得,,,,
だが自業自得だ,"He had it comin', too.",But it&#39;s self-made,自業自得,,,,
自業自得だ 俺達のせいじゃない,Douchebags who got what was coming to 'em. It's not our fault.,"It ’s my own business, it ’s not our fault.",自業自得,,,,
ジュリア・ハワードは　全くの自業自得よ,Julia Howard got exactly what she deserved.,Julia Howard is totally self-employed,自業自得,,,,
これは俺と俺の女にとって 起死回生のチャンスだ,It's time I back myself and my girl.,This is a chance for me and my woman to rejuvenate,起死回生,,,,
『郷に入っては郷に従え』よ！,do as the Romans do!,&quot;Enter the town and follow the town&quot;!,郷に入っては郷に従え,,,,
郷に入っては郷に従えだ,I prefer to work with people who know the area.,Enter the town and follow the town,郷に入っては郷に従え,,,,
彼らを強くする秘訣― 「雨降って地固まる」,"In order to make our agents stronger, we have to break them down to build them back up again.",The secret to strengthening them- &quot;It rains and solidifies&quot;,"雨降って地固まる,雨降って地固ま",,,,
頭に来るよ　クララ,Makes me crazy! Clara!,Come to my head Clara,頭に来る,,,,
頭に来るとこだったぜ,I was about to get mad.,It was coming to my head,頭に来る,,,,
頭に来る 見てもらえるか？,"Give it a rap, will ya? See if you could get it going for me.",Can you see it coming to my head?,頭に来る,,,,
建物をしらみつぶしだ 頭に来るが　やつら精鋭だよ,Hotel Company's still working this side of the river street by street and house by house.,"I&#39;m crushing the building, but they come to my head, but they&#39;re elite",頭に来る,,,,
この国の連中は頭に来る,You know what really pisses me off about these people?,The guys in this country come to mind,頭に来る,,,,
アンタの一言一言が頭に来るわね,Every other word you say is either hell or shit or damn.,Every word of you comes to my mind,頭に来る,,,,
頭に来る質問を続けるなら そうすることなるぞ。,I will if you continue with your infernal questioning.,"If you keep asking the questions that come to your mind, you&#39;ll do that.",頭に来る,,,,
頭に来るぜ,This totally sucks.,Come to my head,頭に来る,,,,
